year,film,wiki,genres
1974,The Towering Inferno,/wiki/The_Towering_Inferno,"action,drama,thriller"
1975,One Flew Over the Cuckoo's Nest ,/wiki/One_Flew_Over_the_Cuckoo%27s_Nest_(film),drama
1975,Barry Lyndon,/wiki/Barry_Lyndon,"adventure,drama,war"
1975,Dog Day Afternoon,/wiki/Dog_Day_Afternoon,"adventure,animation,comedy"
1975,Jaws ,/wiki/Jaws_(film),"adventure,mystery,thriller"
1975,Nashville ,/wiki/Nashville_(film),"comedy,drama,music"
1976,Rocky,/wiki/Rocky,"comedy,family,fantasy"
1976,All the President's Men ,/wiki/All_the_President%27s_Men_(film),"drama,history,thriller"
1976,Bound for Glory ,/wiki/Bound_for_Glory_(1976_film),"drama,history,war,western"
1976,Network ,/wiki/Network_(1976_film),drama
1976,Taxi Driver,/wiki/Taxi_Driver,"drama,fantasy,horror"
1977,Annie Hall,/wiki/Annie_Hall,"documentary,short"
1977,The Goodbye Girl,/wiki/The_Goodbye_Girl,"comedy,drama,romance"
1977,Julia ,/wiki/Julia_(1977_film),drama
1977,Star Wars ,/wiki/Star_Wars_(film),"action,adventure,fantasy,sci-fi"
1977,The Turning Point ,/wiki/The_Turning_Point_(1977_film),"drama,music,romance"
1978,The Deer Hunter,/wiki/The_Deer_Hunter,"comedy,drama,horror"
1978,Coming Home ,/wiki/Coming_Home_(1978_film),"drama,romance,war"
1978,Heaven Can Wait ,/wiki/Heaven_Can_Wait_(1978_film),"comedy,fantasy,romance,sport"
1978,Midnight Express ,/wiki/Midnight_Express_(film),"biography,crime,drama,thriller"
1978,An Unmarried Woman,/wiki/An_Unmarried_Woman,"comedy,drama,romance"
1979,Kramer vs. Kramer,/wiki/Kramer_vs._Kramer,"crime,drama,reality-tv"
1979,All That Jazz ,/wiki/All_That_Jazz_(film),"drama,music,musical"
1979,Apocalypse Now,/wiki/Apocalypse_Now,"drama,mystery,war"
1979,Breaking Away,/wiki/Breaking_Away,"crime,documentary,mystery"
1979,Norma Rae,/wiki/Norma_Rae,"action,crime,drama"
1980,Ordinary People,/wiki/Ordinary_People,"adventure,comedy,drama"
1980,Coal Miner's Daughter ,/wiki/Coal_Miner%27s_Daughter_(film),"biography,drama,music"
1980,The Elephant Man ,/wiki/The_Elephant_Man_(film),"biography,drama"
1980,Raging Bull,/wiki/Raging_Bull,"biography,drama,sport"
1980,Tess ,/wiki/Tess_(1979_film),"drama,romance"
1981,Chariots of Fire,/wiki/Chariots_of_Fire,"biography,drama,sport"
1981,Atlantic City ,/wiki/Atlantic_City_(1980_film),"crime,drama,romance"
1981,On Golden Pond ,/wiki/On_Golden_Pond_(1981_film),drama
1981,Raiders of the Lost Ark,/wiki/Raiders_of_the_Lost_Ark,"animation,comedy,short"
1981,Reds ,/wiki/Reds_(film),"biography,drama,history,romance"
1982,Gandhi ,/wiki/Gandhi_(film),"biography,drama,history"
1982,E.T. the Extra-Terrestrial,/wiki/E.T._the_Extra-Terrestrial,"adventure,family,sci-fi"
1982,Missing ,/wiki/Missing_(1982_film),"drama,mystery,thriller"
1982,Tootsie,/wiki/Tootsie,"comedy,drama,romance"
1982,The Verdict,/wiki/The_Verdict,"drama,romance,short"
1983,Terms of Endearment,/wiki/Terms_of_Endearment,"comedy,drama,mystery"
1983,The Big Chill ,/wiki/The_Big_Chill_(film),"comedy,drama"
1983,The Dresser ,/wiki/The_Dresser_(1983_film),drama
1983,The Right Stuff ,/wiki/The_Right_Stuff_(film),"adventure,biography,drama,history"
1983,Tender Mercies,/wiki/Tender_Mercies,"crime,drama"
1984,Amadeus ,/wiki/Amadeus_(film),"biography,drama,music"
1984,The Killing Fields ,/wiki/The_Killing_Fields_(film),"biography,drama,history,war"
1984,A Passage to India ,/wiki/A_Passage_to_India_(film),"adventure,drama,history"
1984,Places in the Heart,/wiki/Places_in_the_Heart,drama
1984,A Soldier's Story,/wiki/A_Soldier%27s_Story,"crime,drama,mystery"
1985,Out of Africa ,/wiki/Out_of_Africa_(film),"biography,drama,romance"
1985,The Color Purple ,/wiki/The_Color_Purple_(1985_film),"drama,musical"
1985,Kiss of the Spider Woman ,/wiki/Kiss_of_the_Spider_Woman_(film),drama
1985,Prizzi's Honor,/wiki/Prizzi%27s_Honor,"comedy,crime,drama"
1985,Witness ,/wiki/Witness_(1985_film),"drama,romance,thriller"
1986,Platoon ,/wiki/Platoon_(film),"drama,war"
1986,Children of a Lesser God ,/wiki/Children_of_a_Lesser_God_(film),"drama,romance"
1986,Hannah and Her Sisters,/wiki/Hannah_and_Her_Sisters,"comedy,drama"
1986,The Mission ,/wiki/The_Mission_(1986_film),"adventure,drama,history"
1986,A Room with a View ,/wiki/A_Room_with_a_View_(1985_film),"drama,romance"
1987,The Last Emperor,/wiki/The_Last_Emperor,"biography,drama,history"
1987,Broadcast News ,/wiki/Broadcast_News_(film),"comedy,drama,romance"
1987,Fatal Attraction,/wiki/Fatal_Attraction,"comedy,drama,family"
1987,Hope and Glory ,/wiki/Hope_and_Glory_(film),"comedy,drama,romance"
1987,Moonstruck,/wiki/Moonstruck,"crime,drama,horror"
1988,Rain Man,/wiki/Rain_Man,"comedy,talk-show"
1988,The Accidental Tourist ,/wiki/The_Accidental_Tourist_(film),"drama,romance"
1988,Dangerous Liaisons,/wiki/Dangerous_Liaisons,"drama,history,mystery"
1988,Mississippi Burning,/wiki/Mississippi_Burning,"crime,drama,mystery"
1988,Working Girl,/wiki/Working_Girl,"documentary,drama,short"
1989,Driving Miss Daisy,/wiki/Driving_Miss_Daisy,"comedy,drama,romance"
1989,Born on the Fourth of July ,/wiki/Born_on_the_Fourth_of_July_(film),"biography,drama,war"
1989,Dead Poets Society,/wiki/Dead_Poets_Society,"comedy,drama"
1989,Field of Dreams,/wiki/Field_of_Dreams,"adventure,documentary,family"
1989,My Left Foot,/wiki/My_Left_Foot,"action,comedy,drama"
1990,Dances with Wolves,/wiki/Dances_with_Wolves,"adventure,drama,western"
1990,Awakenings,/wiki/Awakenings,"action,drama,sci-fi"
1990,Ghost ,/wiki/Ghost_(1990_film),"drama,fantasy,romance,thriller"
1990,The Godfather Part III,/wiki/The_Godfather_Part_III,"crime,drama"
1990,Goodfellas,/wiki/Goodfellas,"biography,crime,drama"
1991,The Silence of the Lambs ,/wiki/The_Silence_of_the_Lambs_(film),"crime,drama,thriller"
1991,Beauty and the Beast ,/wiki/Beauty_and_the_Beast_(1991_film),"adventure,family,fantasy,musical,romance"
1991,Bugsy,/wiki/Bugsy,"biography,crime,drama"
1991,JFK ,/wiki/JFK_(film),"drama,history,thriller"
1991,The Prince of Tides,/wiki/The_Prince_of_Tides,"drama,romance"
1992,Unforgiven,/wiki/Unforgiven,"crime,drama,short"
1992,The Crying Game,/wiki/The_Crying_Game,"comedy,drama,romance"
1992,A Few Good Men,/wiki/A_Few_Good_Men,"news,talk-show,war"
1992,Howards End ,/wiki/Howards_End_(film),"drama,romance"
1992,Scent of a Woman ,/wiki/Scent_of_a_Woman_(1992_film),drama
1993,Schindler's List,/wiki/Schindler%27s_List,"biography,drama,history"
1993,The Fugitive ,/wiki/The_Fugitive_(1993_film),"action,crime,drama,mystery,thriller"
1993,In the Name of the Father ,/wiki/In_the_Name_of_the_Father_(film),"biography,crime,drama"
1993,The Piano,/wiki/The_Piano,"drama,musical,short"
1993,The Remains of the Day ,/wiki/The_Remains_of_the_Day_(film),"drama,romance"
1994,Forrest Gump,/wiki/Forrest_Gump,"documentary,family,history"
1994,Four Weddings and a Funeral,/wiki/Four_Weddings_and_a_Funeral,"comedy,drama,romance"
1994,Pulp Fiction,/wiki/Pulp_Fiction,"comedy,reality-tv,talk-show"
1994,Quiz Show ,/wiki/Quiz_Show_(film),"biography,drama,history"
1994,The Shawshank Redemption,/wiki/The_Shawshank_Redemption,"comedy,talk-show"
1995,Braveheart,/wiki/Braveheart,"comedy,documentary,history"
1995,Apollo 13 ,/wiki/Apollo_13_(film),"adventure,drama,history"
1995,Babe ,/wiki/Babe_(film),"comedy,drama,family"
1995,Il Postino: The Postman,/wiki/Il_Postino:_The_Postman,"biography,comedy,drama,romance"
1995,Sense and Sensibility ,/wiki/Sense_and_Sensibility_(film),"drama,romance"
1996,The English Patient ,/wiki/The_English_Patient_(film),"drama,romance,war"
1996,Fargo ,/wiki/Fargo_(1996_film),"crime,thriller"
1996,Jerry Maguire,/wiki/Jerry_Maguire,"comedy,drama,romance"
1996,Secrets & Lies ,/wiki/Secrets_%26_Lies_(film),"comedy,drama"
1996,Shine ,/wiki/Shine_(film),"biography,drama,music,romance"
1997,Titanic ,/wiki/Titanic_(1997_film),"drama,romance"
1997,As Good as It Gets,/wiki/As_Good_as_It_Gets,"comedy,drama,romance"
1997,The Full Monty,/wiki/The_Full_Monty,"comedy,drama"
1997,Good Will Hunting,/wiki/Good_Will_Hunting,"action,adventure,comedy"
1997,L.A. Confidential ,/wiki/L.A._Confidential_(film),"crime,drama,mystery,thriller"
1998,Shakespeare in Love,/wiki/Shakespeare_in_Love,"comedy,drama,history"
1998,Elizabeth ,/wiki/Elizabeth_(film),"biography,drama,history"
1998,Life Is Beautiful,/wiki/Life_Is_Beautiful,"drama,romance,short"
1998,Saving Private Ryan,/wiki/Saving_Private_Ryan,"comedy,documentary,history"
1998,The Thin Red Line ,/wiki/The_Thin_Red_Line_(1998_film),"drama,history,war"
1999,American Beauty ,/wiki/American_Beauty_(1999_film),drama
1999,The Cider House Rules ,/wiki/The_Cider_House_Rules_(film),"drama,romance"
1999,The Green Mile ,/wiki/The_Green_Mile_(film),"crime,drama,fantasy,mystery"
1999,The Insider ,/wiki/The_Insider_(film),"biography,drama,thriller"
1999,The Sixth Sense,/wiki/The_Sixth_Sense,"drama,mystery,thriller"
2000,Gladiator ,/wiki/Gladiator_(2000_film),"action,adventure,drama"
2000,Chocolat ,/wiki/Chocolat_(2000_film),"drama,romance"
2000,"Crouching Tiger, Hidden Dragon","/wiki/Crouching_Tiger,_Hidden_Dragon","action,adventure,drama"
2000,Erin Brockovich ,/wiki/Erin_Brockovich_(film),"biography,drama"
2000,Traffic ,/wiki/Traffic_(2000_film),"crime,drama,thriller"
2001,A Beautiful Mind ,/wiki/A_Beautiful_Mind_(film),"biography,drama"
2001,Gosford Park,/wiki/Gosford_Park,"comedy,drama,mystery"
2001,In the Bedroom,/wiki/In_the_Bedroom,"comedy,drama,short"
2001,The Lord of the Rings: The Fellowship of the Ring,/wiki/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring,"action,adventure,fantasy"
2001,Moulin Rouge!,/wiki/Moulin_Rouge!,"drama,musical,romance"
2002,Chicago ,/wiki/Chicago_(2002_film),"comedy,crime,musical"
2002,Gangs of New York,/wiki/Gangs_of_New_York,"documentary,history"
2002,The Hours ,/wiki/The_Hours_(film),"drama,romance"
2002,The Lord of the Rings: The Two Towers,/wiki/The_Lord_of_the_Rings:_The_Two_Towers,"action,adventure,drama"
2002,The Pianist ,/wiki/The_Pianist_(2002_film),"biography,drama,music,war"
2003,The Lord of the Rings: The Return of the King,/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,"action,adventure,drama"
2003,Lost in Translation ,/wiki/Lost_in_Translation_(film),"comedy,drama"
2003,Master and Commander: The Far Side of the World,/wiki/Master_and_Commander:_The_Far_Side_of_the_World,"action,adventure,drama"
2003,Mystic River ,/wiki/Mystic_River_(film),"crime,drama,mystery,thriller"
2003,Seabiscuit ,/wiki/Seabiscuit_(film),"drama,history,sport"
2004,Million Dollar Baby,/wiki/Million_Dollar_Baby,"comedy,drama,music"
2004,The Aviator ,/wiki/The_Aviator_(2004_film),"biography,drama"
2004,Finding Neverland ,/wiki/Finding_Neverland_(film),"biography,drama,family"
2004,Ray ,/wiki/Ray_(film),"biography,drama,music"
2004,Sideways,/wiki/Sideways,"crime,drama,mystery"
2005,Crash ,/wiki/Crash_(2004_film),drama
2005,Brokeback Mountain,/wiki/Brokeback_Mountain,"animation,comedy,short"
2005,Capote ,/wiki/Capote_(film),"biography,crime,drama,history"
2005,"Good Night, and Good Luck","/wiki/Good_Night,_and_Good_Luck",drama
2005,Munich ,/wiki/Munich_(2005_film),"action,drama,history,thriller"
2006,The Departed,/wiki/The_Departed,"crime,drama,thriller"
2006,Babel ,/wiki/Babel_(film),drama
2006,Letters from Iwo Jima,/wiki/Letters_from_Iwo_Jima,"action,adventure,drama"
2006,Little Miss Sunshine,/wiki/Little_Miss_Sunshine,"animation,family,short"
2006,The Queen ,/wiki/The_Queen_(2006_film),"biography,drama"
2007,No Country for Old Men,/wiki/No_Country_for_Old_Men,"animation,comedy,short"
2007,Atonement ,/wiki/Atonement_(2007_film),"drama,mystery,romance,war"
2007,Juno ,/wiki/Juno_(film),"comedy,drama"
2007,Michael Clayton ,/wiki/Michael_Clayton_(film),"crime,drama,mystery,thriller"
2007,There Will Be Blood,/wiki/There_Will_Be_Blood,"action,adventure,drama"
2008,Slumdog Millionaire,/wiki/Slumdog_Millionaire,"crime,drama,romance"
2008,The Curious Case of Benjamin Button ,/wiki/The_Curious_Case_of_Benjamin_Button_(film),"drama,fantasy,romance"
2008,Frost/Nixon ,/wiki/Frost/Nixon_(film),"biography,drama,history"
2008,Milk ,/wiki/Milk_(2008_American_film),"biography,drama,history"
2008,The Reader ,/wiki/The_Reader_(2008_film),"drama,romance"
2009,The Hurt Locker,/wiki/The_Hurt_Locker,"drama,thriller,war"
2009,Avatar ,/wiki/Avatar_(2009_film),"action,adventure,fantasy,sci-fi"
2009,The Blind Side ,/wiki/The_Blind_Side_(film),"biography,drama,sport"
2009,District 9,/wiki/District_9,"action,sci-fi,thriller"
2009,An Education,/wiki/An_Education,"comedy,drama,romance"
2009,Inglourious Basterds,/wiki/Inglourious_Basterds,"adventure,drama,war"
2009,Precious ,/wiki/Precious_(film),drama
2009,A Serious Man,/wiki/A_Serious_Man,"comedy,drama"
2009,Up ,/wiki/Up_(2009_film),"adventure,animation,comedy,drama,family"
2009,Up in the Air ,/wiki/Up_in_the_Air_(2009_film),"comedy,drama,romance"
2010,The King's Speech,/wiki/The_King%27s_Speech,"biography,drama,history"
2010,Black Swan ,/wiki/Black_Swan_(film),"drama,thriller"
2010,The Fighter,/wiki/The_Fighter,"action,adventure,fantasy"
2010,Inception,/wiki/Inception,"comedy,reality-tv,talk-show"
2010,The Kids Are All Right ,/wiki/The_Kids_Are_All_Right_(film),"comedy,drama,romance"
2010,127 Hours,/wiki/127_Hours,"documentary,news"
2010,The Social Network,/wiki/The_Social_Network,"comedy,drama,game-show"
2010,Toy Story 3,/wiki/Toy_Story_3,"comedy,family,short"
2010,True Grit ,/wiki/True_Grit_(2010_film),"drama,western"
2010,Winter's Bone,/wiki/Winter%27s_Bone,"drama,mystery"
2011,The Artist ,/wiki/The_Artist_(film),"comedy,drama,romance"
2011,The Descendants,/wiki/The_Descendants,"biography,documentary,history"
2011,Extremely Loud & Incredibly Close ,/wiki/Extremely_Loud_%26_Incredibly_Close_(film),"adventure,drama,mystery"
2011,The Help ,/wiki/The_Help_(film),drama
2011,Hugo ,/wiki/Hugo_(film),"adventure,drama,family,fantasy,mystery"
2011,Midnight in Paris,/wiki/Midnight_in_Paris,"comedy,documentary,drama"
2011,Moneyball ,/wiki/Moneyball_(film),"biography,drama,sport"
2011,The Tree of Life ,/wiki/The_Tree_of_Life_(film),"drama,fantasy"
2011,War Horse ,/wiki/War_Horse_(film),"action,adventure,drama,history,war"
2012,Argo ,/wiki/Argo_(2012_film),"biography,drama,thriller"
2012,Amour ,/wiki/Amour_(2012_film),drama
2012,Beasts of the Southern Wild,/wiki/Beasts_of_the_Southern_Wild,"adventure,drama,fantasy"
2012,Django Unchained,/wiki/Django_Unchained,"drama,western"
2012,Life of Pi ,/wiki/Life_of_Pi_(film),"adventure,drama,fantasy"
2012,Lincoln ,/wiki/Lincoln_(film),"biography,drama,history,war"
2012,Les Misérables ,/wiki/Les_Mis%C3%A9rables_(2012_film),"crime,drama,thriller"
2012,Silver Linings Playbook,/wiki/Silver_Linings_Playbook,"comedy,drama,romance"
2012,Zero Dark Thirty,/wiki/Zero_Dark_Thirty,"comedy,documentary,mystery"
2013,12 Years a Slave ,/wiki/12_Years_a_Slave_(film),"biography,drama,history"
2013,American Hustle,/wiki/American_Hustle,"reality-tv,talk-show"
2013,Captain Phillips ,/wiki/Captain_Phillips_(film),"action,biography,crime,drama,thriller"
2013,Dallas Buyers Club,/wiki/Dallas_Buyers_Club,"comedy,talk-show"
2013,Gravity ,/wiki/Gravity_(2013_film),"drama,sci-fi,thriller"
2013,Her ,/wiki/Her_(film),"drama,romance,sci-fi"
2013,Nebraska ,/wiki/Nebraska_(film),drama
2013,Philomena ,/wiki/Philomena_(film),"biography,comedy,drama"
2013,The Wolf of Wall Street ,/wiki/The_Wolf_of_Wall_Street_(2013_film),"biography,comedy,crime,drama"
2014,Birdman ,/wiki/Birdman_(film),"comedy,drama"
2014,American Sniper,/wiki/American_Sniper,"action,biography,drama"
2014,Boyhood ,/wiki/Boyhood_(2014_film),drama
2014,The Grand Budapest Hotel,/wiki/The_Grand_Budapest_Hotel,"adventure,comedy,crime"
2014,The Imitation Game,/wiki/The_Imitation_Game,"comedy,drama,game-show"
2014,Selma ,/wiki/Selma_(film),"biography,drama,history"
2014,The Theory of Everything ,/wiki/The_Theory_of_Everything_(2014_film),"biography,drama,romance"
2014,Whiplash ,/wiki/Whiplash_(2014_film),"drama,music"
2015,Spotlight ,/wiki/Spotlight_(film),"biography,crime,drama"
2015,The Big Short ,/wiki/The_Big_Short_(film),"biography,comedy,drama,history"
2015,Bridge of Spies ,/wiki/Bridge_of_Spies_(film),"drama,history,thriller,war"
2015,Brooklyn ,/wiki/Brooklyn_(film),"drama,romance"
2015,Mad Max: Fury Road,/wiki/Mad_Max:_Fury_Road,"action,adventure,sci-fi"
2015,The Martian ,/wiki/The_Martian_(film),"adventure,drama,sci-fi"
2015,The Revenant ,/wiki/The_Revenant_(2015_film),"action,adventure,drama,western"
2015,Room ,/wiki/Room_(2015_film),"drama,thriller"
2016,Moonlight ,/wiki/Moonlight_(2016_film),drama
2016,Arrival ,/wiki/Arrival_(film),"drama,mystery,sci-fi"
2016,Fences ,/wiki/Fences_(film),drama
2016,Hacksaw Ridge,/wiki/Hacksaw_Ridge,"biography,drama,history"
2016,Hell or High Water ,/wiki/Hell_or_High_Water_(2016_film),"crime,drama,thriller,western"
2016,Hidden Figures,/wiki/Hidden_Figures,"comedy,drama,game-show"
2016,La La Land,/wiki/La_La_Land,"comedy,drama,romance"
2016,Lion ,/wiki/Lion_(2016_film),"biography,drama"
2016,Manchester by the Sea ,/wiki/Manchester_by_the_Sea_(film),drama
2017,The Shape of Water,/wiki/The_Shape_of_Water,"comedy,drama,sci-fi"
2017,Call Me by Your Name ,/wiki/Call_Me_by_Your_Name_(film),"drama,romance"
2017,Darkest Hour ,/wiki/Darkest_Hour_(film),"biography,drama,war"
2017,Dunkirk ,/wiki/Dunkirk_(2017_film),"action,drama,history,thriller,war"
2017,Get Out,/wiki/Get_Out,"animation,comedy,crime"
2017,Lady Bird ,/wiki/Lady_Bird_(film),"comedy,drama"
2017,Phantom Thread,/wiki/Phantom_Thread,"comedy,news"
2017,The Post ,/wiki/The_Post_(film),"biography,drama,history,thriller,war"
2017,"Three Billboards Outside Ebbing, Missouri","/wiki/Three_Billboards_Outside_Ebbing,_Missouri","comedy,crime,drama"
2018,Green Book ,/wiki/Green_Book_(film),"biography,comedy,drama,music"
2018,Black Panther ,/wiki/Black_Panther_(film),"action,adventure,sci-fi"
2018,BlacKkKlansman,/wiki/BlacKkKlansman,"biography,comedy,crime"
2018,Bohemian Rhapsody ,/wiki/Bohemian_Rhapsody_(film),"biography,drama,music"
2018,The Favourite,/wiki/The_Favourite,"drama,family,romance"
2018,Roma ,/wiki/Roma_(2018_film),drama
2018,A Star Is Born ,/wiki/A_Star_Is_Born_(2018_film),"drama,music,romance"
2018,Vice ,/wiki/Vice_(2018_film),"biography,comedy,drama"
2019,Parasite ,/wiki/Parasite_(2019_film),"horror,mystery,sci-fi"
2019,Ford v Ferrari,/wiki/Ford_v_Ferrari,"action,biography,drama"
2019,The Irishman,/wiki/The_Irishman,"biography,crime,drama"
2019,Jojo Rabbit,/wiki/Jojo_Rabbit,"comedy,drama,war"
2019,Joker ,/wiki/Joker_(2019_film),"crime,drama,thriller"
2019,Little Women ,/wiki/Little_Women_(2019_film),"drama,romance"
2019,Marriage Story,/wiki/Marriage_Story,"comedy,documentary,news"
2019,1917 ,/wiki/1917_(2019_film),"action,drama,war"
2019,Once Upon a Time in Hollywood,/wiki/Once_Upon_a_Time_in_Hollywood,"comedy,talk-show"
2020,Nomadland ,/wiki/Nomadland_(film),drama
2020,The Father ,/wiki/The_Father_(2020_film),"drama,mystery"
2020,Judas and the Black Messiah,/wiki/Judas_and_the_Black_Messiah,"biography,drama,history"
2020,Mank,/wiki/Mank,"biography,comedy,drama"
2020,Minari ,/wiki/Minari_(film),drama
2020,Promising Young Woman,/wiki/Promising_Young_Woman,"crime,drama,mystery"
2020,Sound of Metal,/wiki/Sound_of_Metal,"drama,music"
2020,The Trial of the Chicago 7,/wiki/The_Trial_of_the_Chicago_7,"drama,history,thriller"
2021,CODA ,/wiki/CODA_(2021_film),"comedy,drama,music"
2021,Belfast ,/wiki/Belfast_(film),"biography,drama"
2021,Don't Look Up,/wiki/Don%27t_Look_Up,"comedy,drama,sci-fi"
2021,Drive My Car ,/wiki/Drive_My_Car_(film),drama
2021,Dune ,/wiki/Dune_(2021_film),"action,adventure,drama,sci-fi"
2021,King Richard ,/wiki/King_Richard_(film),"biography,drama,sport"
2021,Licorice Pizza,/wiki/Licorice_Pizza,"comedy,drama,romance"
2021,Nightmare Alley ,/wiki/Nightmare_Alley_(2021_film),"crime,drama,thriller"
2021,The Power of the Dog ,/wiki/The_Power_of_the_Dog_(film),"drama,romance,western"
2021,West Side Story ,/wiki/West_Side_Story_(2021_film),"crime,drama,musical,romance"
2022,Everything Everywhere All at Once,/wiki/Everything_Everywhere_All_at_Once,"action,adventure,comedy"
2022,All Quiet on the Western Front ,/wiki/All_Quiet_on_the_Western_Front_(2022_film),"drama,war"
2022,Avatar: The Way of Water,/wiki/Avatar:_The_Way_of_Water,"action,adventure,fantasy"
2022,The Banshees of Inisherin,/wiki/The_Banshees_of_Inisherin,"comedy,drama"
2022,Elvis ,/wiki/Elvis_(2022_film),"biography,drama,music"
2022,The Fabelmans,/wiki/The_Fabelmans,"comedy,talk-show"
2022,Tár,/wiki/T%C3%A1r,"drama,music"
2022,Top Gun: Maverick,/wiki/Top_Gun:_Maverick,"comedy,talk-show"
2022,Triangle of Sadness,/wiki/Triangle_of_Sadness,"comedy,drama"
2022,Women Talking ,/wiki/Women_Talking_(film),drama
