,year,film,wiki,winner,box_office
0,1927,Wings ,/wiki/Wings_(1927_film),True,"{'Domestic': 'N/A', 'International': '$746', 'Worldwide': '$746'}"
1,1927,7th Heaven ,/wiki/7th_Heaven_(1927_film),False,"{'Domestic': '$79,808', 'International': 'N/A', 'Worldwide': '$79,808'}"
2,1927,The Racket ,/wiki/The_Racket_(1928_film),False,"{'Domestic': '$6,303,762', 'International': '$15,429,468', 'Worldwide': '$21,733,230'}"
3,1928,The Broadway Melody,/wiki/The_Broadway_Melody,True,"{'Domestic': 'N/A', 'International': '$223,723', 'Worldwide': '$223,723'}"
4,1928,Alibi ,/wiki/Alibi_(1929_film),False,"{'Domestic': '$24,845', 'International': '$18,070', 'Worldwide': '$42,915'}"
6,1928,In Old Arizona,/wiki/In_Old_Arizona,False,"{'Domestic': 'N/A', 'International': '$6,344', 'Worldwide': '$6,344'}"
7,1928,The Patriot ,/wiki/The_Patriot_(1928_film),False,"{'Domestic': '$113,330,342', 'International': '$101,964,000', 'Worldwide': '$215,294,342'}"
12,1929,The Love Parade,/wiki/The_Love_Parade,False,"{'Domestic': 'N/A', 'International': '$2,492,128', 'Worldwide': '$2,492,128'}"
11,1929,The Divorcee,/wiki/The_Divorcee,False,"{'Domestic': 'N/A', 'International': '$6,253', 'Worldwide': '$6,253'}"
10,1929,Disraeli ,/wiki/Disraeli_(1929_film),False,"{'Domestic': '$11,962,778', 'International': '$1,063,082', 'Worldwide': '$13,025,860'}"
9,1929,The Big House ,/wiki/The_Big_House_(1930_film),False,"{'Domestic': '$117,559,438', 'International': '$56,400,000', 'Worldwide': '$173,959,438'}"
8,1929,All Quiet on the Western Front ,/wiki/All_Quiet_on_the_Western_Front_(1930_film),True,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
13,1930,Cimarron ,/wiki/Cimarron_(1931_film),True,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
15,1930,The Front Page ,/wiki/The_Front_Page_(1931_film),False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
16,1930,Skippy ,/wiki/Skippy_(film),False,"{'Domestic': '$621,931', 'International': 'N/A', 'Worldwide': '$621,931'}"
25,1931,The Smiling Lieutenant,/wiki/The_Smiling_Lieutenant,False,"{'Domestic': '$240,978', 'International': '$172,866', 'Worldwide': '$413,844'}"
24,1931,Shanghai Express ,/wiki/Shanghai_Express_(film),False,"{'Domestic': '$2,315,683', 'International': 'N/A', 'Worldwide': '$2,315,683'}"
22,1931,Five Star Final,/wiki/Five_Star_Final,False,"{'Domestic': '$306,917', 'International': '$2,732,105', 'Worldwide': '$3,039,022'}"
20,1931,Bad Girl ,/wiki/Bad_Girl_(1931_film),False,"{'Domestic': 'N/A', 'International': '$193,221', 'Worldwide': '$193,221'}"
18,1931,Grand Hotel ,/wiki/Grand_Hotel_(1932_film),True,"{'Domestic': '$59,301,324', 'International': '$113,780,865', 'Worldwide': '$173,082,189'}"
21,1931,The Champ ,/wiki/The_Champ_(1931_film),False,"{'Domestic': '$30,441,738', 'International': 'N/A', 'Worldwide': '$30,441,738'}"
32,1932,The Private Life of Henry VIII,/wiki/The_Private_Life_of_Henry_VIII,False,"{'Domestic': 'N/A', 'International': '$19,773', 'Worldwide': '$19,773'}"
26,1932,Cavalcade ,/wiki/Cavalcade_(1933_film),True,"{'Domestic': 'N/A', 'International': '$507,886', 'Worldwide': '$507,886'}"
27,1932,42nd Street ,/wiki/42nd_Street_(film),False,"{'Domestic': 'N/A', 'International': '$1,600', 'Worldwide': '$1,600'}"
28,1932,A Farewell to Arms ,/wiki/A_Farewell_to_Arms_(1932_film),False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
29,1932,I Am a Fugitive from a Chain Gang,/wiki/I_Am_a_Fugitive_from_a_Chain_Gang,False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
30,1932,Lady for a Day,/wiki/Lady_for_a_Day,False,"{'Domestic': 'N/A', 'International': '$383,872', 'Worldwide': '$383,872'}"
31,1932,Little Women ,/wiki/Little_Women_(1933_film),False,"{'Domestic': '$108,101,214', 'International': '$110,742,431', 'Worldwide': '$218,843,645'}"
34,1932,Smilin' Through ,/wiki/Smilin%27_Through_(1932_film),False,"{'Domestic': '$4,560', 'International': 'N/A', 'Worldwide': '$4,560'}"
35,1932,State Fair ,/wiki/State_Fair_(1933_film),False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
44,1934,One Night of Love,/wiki/One_Night_of_Love,False,"{'Domestic': 'N/A', 'International': '$900,123', 'Worldwide': '$900,123'}"
45,1934,The Thin Man ,/wiki/The_Thin_Man_(film),False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
43,1934,Imitation of Life ,/wiki/Imitation_of_Life_(1934_film),False,"{'Domestic': 'N/A', 'International': '$365', 'Worldwide': '$365'}"
47,1934,The White Parade,/wiki/The_White_Parade,False,"{'Domestic': 'N/A', 'International': '$2,492,128', 'Worldwide': '$2,492,128'}"
42,1934,The House of Rothschild,/wiki/The_House_of_Rothschild,False,"{'Domestic': '$19,699,706', 'International': '$1,877,918', 'Worldwide': '$21,577,624'}"
37,1934,The Barretts of Wimpole Street ,/wiki/The_Barretts_of_Wimpole_Street_(1934_film),False,"{'Domestic': '$116,900,694', 'International': '$289,977,539', 'Worldwide': '$406,878,233'}"
40,1934,The Gay Divorcee,/wiki/The_Gay_Divorcee,False,"{'Domestic': 'N/A', 'International': '$6,253', 'Worldwide': '$6,253'}"
38,1934,Cleopatra ,/wiki/Cleopatra_(1934_film),False,"{'Domestic': '$57,777,778', 'International': 'N/A', 'Worldwide': '$57,777,778'}"
36,1934,It Happened One Night,/wiki/It_Happened_One_Night,True,"{'Domestic': 'N/A', 'International': '$11,477', 'Worldwide': '$11,477'}"
41,1934,Here Comes the Navy,/wiki/Here_Comes_the_Navy,False,"{'Domestic': '$45,290,318', 'International': '$27,809,854', 'Worldwide': '$73,100,172'}"
59,1935,Top Hat,/wiki/Top_Hat,False,"{'Domestic': 'N/A', 'International': '$5,541', 'Worldwide': '$5,541'}"
56,1935,Les Misérables ,/wiki/Les_Mis%C3%A9rables_(1935_film),False,"{'Domestic': '$330,181', 'International': '$54,135,749', 'Worldwide': '$54,465,930'}"
55,1935,A Midsummer Night's Dream ,/wiki/A_Midsummer_Night%27s_Dream_(1935_film),False,"{'Domestic': 'N/A', 'International': '$24,711', 'Worldwide': '$24,711'}"
54,1935,The Lives of a Bengal Lancer ,/wiki/The_Lives_of_a_Bengal_Lancer_(film),False,"{'Domestic': '$104,837', 'International': '$30,331', 'Worldwide': '$135,168'}"
52,1935,David Copperfield ,/wiki/David_Copperfield_(1935_film),False,"{'Domestic': '$1,876,298', 'International': '$12,522,972', 'Worldwide': '$14,399,270'}"
51,1935,Captain Blood ,/wiki/Captain_Blood_(1935_film),False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
49,1935,Alice Adams ,/wiki/Alice_Adams_(1935_film),False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
48,1935,Mutiny on the Bounty ,/wiki/Mutiny_on_the_Bounty_(1935_film),True,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
53,1935,The Informer ,/wiki/The_Informer_(1935_film),False,"{'Domestic': '$300,460', 'International': '$2,627,248', 'Worldwide': '$2,927,708'}"
68,1936,A Tale of Two Cities ,/wiki/A_Tale_of_Two_Cities_(1935_film),False,"{'Domestic': '$72,541', 'International': '$990,337', 'Worldwide': '$1,062,878'}"
67,1936,The Story of Louis Pasteur,/wiki/The_Story_of_Louis_Pasteur,False,"{'Domestic': '$204,956', 'International': 'N/A', 'Worldwide': '$204,956'}"
66,1936,San Francisco ,/wiki/San_Francisco_(1936_film),False,"{'Domestic': '$18,823', 'International': 'N/A', 'Worldwide': '$18,823'}"
65,1936,Romeo and Juliet ,/wiki/Romeo_and_Juliet_(1936_film),False,"{'Domestic': 'N/A', 'International': '$6,292', 'Worldwide': '$6,292'}"
64,1936,Mr. Deeds Goes to Town,/wiki/Mr._Deeds_Goes_to_Town,False,"{'Domestic': 'N/A', 'International': '$8,362', 'Worldwide': '$8,362'}"
60,1936,The Great Ziegfeld,/wiki/The_Great_Ziegfeld,True,"{'Domestic': '$144,857,996', 'International': '$208,801,855', 'Worldwide': '$353,659,851'}"
63,1936,Libeled Lady,/wiki/Libeled_Lady,False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
76,1937,Lost Horizon ,/wiki/Lost_Horizon_(1937_film),False,"{'Domestic': '$10,572,742', 'International': '$154,167', 'Worldwide': '$10,726,909'}"
79,1937,A Star Is Born ,/wiki/A_Star_Is_Born_(1937_film),False,"{'Domestic': '$215,333,122', 'International': '$220,900,000', 'Worldwide': '$436,233,122'}"
78,1937,Stage Door,/wiki/Stage_Door,False,"{'Domestic': 'N/A', 'International': '$8,835', 'Worldwide': '$8,835'}"
77,1937,One Hundred Men and a Girl,/wiki/One_Hundred_Men_and_a_Girl,False,"{'Domestic': '$167,780,960', 'International': 'N/A', 'Worldwide': '$167,780,960'}"
75,1937,In Old Chicago,/wiki/In_Old_Chicago,False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
73,1937,Dead End ,/wiki/Dead_End_(1937_film),False,"{'Domestic': 'N/A', 'International': '$154,342', 'Worldwide': '$154,342'}"
74,1937,The Good Earth ,/wiki/The_Good_Earth_(film),False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
71,1937,The Awful Truth,/wiki/The_Awful_Truth,False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
70,1937,The Life of Emile Zola,/wiki/The_Life_of_Emile_Zola,True,"{'Domestic': '$50,151,543', 'International': '$49,632,013', 'Worldwide': '$99,783,556'}"
87,1938,Jezebel ,/wiki/Jezebel_(1938_film),False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
86,1938,La Grande Illusion,/wiki/La_Grande_Illusion,False,"{'Domestic': 'N/A', 'International': '$20,356', 'Worldwide': '$20,356'}"
85,1938,Four Daughters,/wiki/Four_Daughters,False,"{'Domestic': 'N/A', 'International': '$2,778,028', 'Worldwide': '$2,778,028'}"
84,1938,The Citadel ,/wiki/The_Citadel_(1938_film),False,"{'Domestic': 'N/A', 'International': '$1,625,784', 'Worldwide': '$1,625,784'}"
83,1938,Boys Town ,/wiki/Boys_Town_(film),False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
81,1938,The Adventures of Robin Hood,/wiki/The_Adventures_of_Robin_Hood,False,"{'Domestic': '$288,545', 'International': 'N/A', 'Worldwide': '$288,545'}"
80,1938,You Can't Take It with You ,/wiki/You_Can%27t_Take_It_with_You_(film),True,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
99,1939,Wuthering Heights ,/wiki/Wuthering_Heights_(1939_film),False,"{'Domestic': '$624,643', 'International': 'N/A', 'Worldwide': '$624,643'}"
98,1939,The Wizard of Oz ,/wiki/The_Wizard_of_Oz_(1939_film),False,"{'Domestic': '$24,668,669', 'International': '$969,000', 'Worldwide': '$25,637,669'}"
97,1939,Stagecoach ,/wiki/Stagecoach_(1939_film),False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
96,1939,Of Mice and Men ,/wiki/Of_Mice_and_Men_(1939_film),False,"{'Domestic': '$5,471,088', 'International': 'N/A', 'Worldwide': '$5,471,088'}"
95,1939,Ninotchka,/wiki/Ninotchka,False,"{'Domestic': 'N/A', 'International': '$1,204', 'Worldwide': '$1,204'}"
92,1939,"Goodbye, Mr. Chips ","/wiki/Goodbye,_Mr._Chips_(1939_film)",False,"{'Domestic': '$82,569,971', 'International': '$23,700,000', 'Worldwide': '$106,269,971'}"
91,1939,Dark Victory,/wiki/Dark_Victory,False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
90,1939,Gone with the Wind ,/wiki/Gone_with_the_Wind_(film),True,"{'Domestic': '$200,882,193', 'International': '$201,500,000', 'Worldwide': '$402,382,193'}"
94,1939,Mr. Smith Goes to Washington,/wiki/Mr._Smith_Goes_to_Washington,False,"{'Domestic': '$144,738', 'International': 'N/A', 'Worldwide': '$144,738'}"
93,1939,Love Affair ,/wiki/Love_Affair_(1939_film),False,"{'Domestic': '$18,272,894', 'International': 'N/A', 'Worldwide': '$18,272,894'}"
109,1940,The Philadelphia Story ,/wiki/The_Philadelphia_Story_(film),False,"{'Domestic': '$404,524', 'International': '$7,139', 'Worldwide': '$411,663'}"
100,1940,Rebecca ,/wiki/Rebecca_(1940_film),True,"{'Domestic': 'N/A', 'International': '$72,275', 'Worldwide': '$72,275'}"
101,1940,"All This, and Heaven Too","/wiki/All_This,_and_Heaven_Too",False,"{'Domestic': 'N/A', 'International': '$16,191,842', 'Worldwide': '$16,191,842'}"
102,1940,Foreign Correspondent ,/wiki/Foreign_Correspondent_(film),False,"{'Domestic': 'N/A', 'International': '$623', 'Worldwide': '$623'}"
103,1940,The Grapes of Wrath ,/wiki/The_Grapes_of_Wrath_(film),False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
104,1940,The Great Dictator,/wiki/The_Great_Dictator,False,"{'Domestic': 'N/A', 'International': '$970,263', 'Worldwide': '$970,263'}"
106,1940,The Letter ,/wiki/The_Letter_(1940_film),False,"{'Domestic': 'N/A', 'International': '$16,455', 'Worldwide': '$16,455'}"
107,1940,The Long Voyage Home,/wiki/The_Long_Voyage_Home,False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
108,1940,Our Town ,/wiki/Our_Town_(1940_film),False,"{'Domestic': 'N/A', 'International': '$2,643,251', 'Worldwide': '$2,643,251'}"
118,1941,Sergeant York ,/wiki/Sergeant_York_(film),False,"{'Domestic': '$16,361,885', 'International': '$3,039', 'Worldwide': '$16,364,924'}"
111,1941,Blossoms in the Dust,/wiki/Blossoms_in_the_Dust,False,"{'Domestic': '$727,639', 'International': 'N/A', 'Worldwide': '$727,639'}"
119,1941,Suspicion ,/wiki/Suspicion_(1941_film),False,"{'Domestic': 'N/A', 'International': '$269,915', 'Worldwide': '$269,915'}"
116,1941,The Maltese Falcon ,/wiki/The_Maltese_Falcon_(1941_film),False,"{'Domestic': '$18,180', 'International': '$16,511', 'Worldwide': '$34,691'}"
110,1941,How Green Was My Valley ,/wiki/How_Green_Was_My_Valley_(film),True,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
114,1941,Hold Back the Dawn,/wiki/Hold_Back_the_Dawn,False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
113,1941,Here Comes Mr. Jordan,/wiki/Here_Comes_Mr._Jordan,False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
112,1941,Citizen Kane,/wiki/Citizen_Kane,False,"{'Domestic': '$1,627,530', 'International': '$18,414', 'Worldwide': '$1,645,944'}"
115,1941,The Little Foxes ,/wiki/The_Little_Foxes_(film),False,"{'Domestic': 'N/A', 'International': '$4,583', 'Worldwide': '$4,583'}"
127,1942,The Talk of the Town ,/wiki/The_Talk_of_the_Town_(1942_film),False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
125,1942,The Pride of the Yankees,/wiki/The_Pride_of_the_Yankees,False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
123,1942,The Magnificent Ambersons ,/wiki/The_Magnificent_Ambersons_(film),False,"{'Domestic': '$93,432,655', 'International': '$68,927,981', 'Worldwide': '$162,360,636'}"
122,1942,Kings Row,/wiki/Kings_Row,False,"{'Domestic': '$49,591', 'International': 'N/A', 'Worldwide': '$49,591'}"
121,1942,49th Parallel ,/wiki/49th_Parallel_(film),False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
124,1942,The Pied Piper ,/wiki/The_Pied_Piper_(1942_film),False,"{'Domestic': 'N/A', 'International': '$5,546,500', 'Worldwide': '$5,546,500'}"
136,1943,The More the Merrier,/wiki/The_More_the_Merrier,False,"{'Domestic': 'N/A', 'International': '$247,061', 'Worldwide': '$247,061'}"
138,1943,The Song of Bernadette ,/wiki/The_Song_of_Bernadette_(film),False,"{'Domestic': '$857,522', 'International': '$3,370,512', 'Worldwide': '$4,228,034'}"
137,1943,The Ox-Bow Incident,/wiki/The_Ox-Bow_Incident,False,"{'Domestic': 'N/A', 'International': '$98,201', 'Worldwide': '$98,201'}"
135,1943,Madame Curie ,/wiki/Madame_Curie_(film),False,"{'Domestic': 'N/A', 'International': '$3,515,958', 'Worldwide': '$3,515,958'}"
130,1943,Casablanca ,/wiki/Casablanca_(film),True,"{'Domestic': '$4,219,709', 'International': '$406,823', 'Worldwide': '$4,626,532'}"
133,1943,The Human Comedy ,/wiki/The_Human_Comedy_(film),False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
132,1943,Heaven Can Wait ,/wiki/Heaven_Can_Wait_(1943_film),False,"{'Domestic': '$81,640,278', 'International': 'N/A', 'Worldwide': '$81,640,278'}"
131,1943,For Whom the Bell Tolls ,/wiki/For_Whom_the_Bell_Tolls_(film),False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
140,1944,Going My Way,/wiki/Going_My_Way,True,"{'Domestic': 'N/A', 'International': '$2,221', 'Worldwide': '$2,221'}"
141,1944,Double Indemnity,/wiki/Double_Indemnity,False,"{'Domestic': 'N/A', 'International': '$14,651', 'Worldwide': '$14,651'}"
142,1944,Gaslight ,/wiki/Gaslight_(1944_film),False,"{'Domestic': '$27,112,329', 'International': '$10,479,345', 'Worldwide': '$37,591,674'}"
144,1944,Wilson ,/wiki/Wilson_(1944_film),False,"{'Domestic': '$653,951', 'International': '$194,695', 'Worldwide': '$848,646'}"
149,1945,Spellbound ,/wiki/Spellbound_(1945_film),False,"{'Domestic': 'N/A', 'International': '$18,875,078', 'Worldwide': '$18,875,078'}"
148,1945,Mildred Pierce ,/wiki/Mildred_Pierce_(film),False,"{'Domestic': 'N/A', 'International': '$10,128', 'Worldwide': '$10,128'}"
147,1945,The Bells of St. Mary's,/wiki/The_Bells_of_St._Mary%27s,False,"{'Domestic': '$21,333,333', 'International': '$4,645', 'Worldwide': '$21,337,978'}"
146,1945,Anchors Aweigh ,/wiki/Anchors_Aweigh_(film),False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
145,1945,The Lost Weekend ,/wiki/The_Lost_Weekend_(film),True,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
150,1946,The Best Years of Our Lives,/wiki/The_Best_Years_of_Our_Lives,True,"{'Domestic': '$23,650,000', 'International': '$11,347', 'Worldwide': '$23,661,347'}"
151,1946,Henry V ,/wiki/Henry_V_(1944_film),False,"{'Domestic': '$10,161,099', 'International': 'N/A', 'Worldwide': '$10,161,099'}"
152,1946,It's a Wonderful Life,/wiki/It%27s_a_Wonderful_Life,False,"{'Domestic': '$1,483,643', 'International': '$7,090,438', 'Worldwide': '$8,574,081'}"
153,1946,The Razor's Edge ,/wiki/The_Razor%27s_Edge_(1946_film),False,"{'Domestic': '$6,551,987', 'International': 'N/A', 'Worldwide': '$6,551,987'}"
154,1946,The Yearling ,/wiki/The_Yearling_(1946_film),False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
156,1947,The Bishop's Wife,/wiki/The_Bishop%27s_Wife,False,"{'Domestic': 'N/A', 'International': '$16', 'Worldwide': '$16'}"
157,1947,Crossfire ,/wiki/Crossfire_(film),False,"{'Domestic': 'N/A', 'International': '$456,350', 'Worldwide': '$456,350'}"
158,1947,Great Expectations ,/wiki/Great_Expectations_(1946_film),False,"{'Domestic': '$26,420,672', 'International': '$29,073,394', 'Worldwide': '$55,494,066'}"
159,1947,Miracle on 34th Street,/wiki/Miracle_on_34th_Street,False,"{'Domestic': 'N/A', 'International': '$527', 'Worldwide': '$527'}"
163,1948,The Snake Pit,/wiki/The_Snake_Pit,False,"{'Domestic': '$560', 'International': 'N/A', 'Worldwide': '$560'}"
162,1948,The Red Shoes ,/wiki/The_Red_Shoes_(1948_film),False,"{'Domestic': 'N/A', 'International': '$30,846', 'Worldwide': '$30,846'}"
164,1948,The Treasure of the Sierra Madre ,/wiki/The_Treasure_of_the_Sierra_Madre_(film),False,"{'Domestic': '$5,014,000', 'International': 'N/A', 'Worldwide': '$5,014,000'}"
160,1948,Hamlet ,/wiki/Hamlet_(1948_film),True,"{'Domestic': '$4,708,156', 'International': '$1,580,074', 'Worldwide': '$6,288,230'}"
161,1948,Johnny Belinda ,/wiki/Johnny_Belinda_(1948_film),False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
165,1949,All the King's Men ,/wiki/All_the_King%27s_Men_(1949_film),True,"{'Domestic': '$7,221,458', 'International': '$2,230,165', 'Worldwide': '$9,451,623'}"
166,1949,Battleground ,/wiki/Battleground_(film),False,"{'Domestic': '$10,337', 'International': 'N/A', 'Worldwide': '$10,337'}"
167,1949,The Heiress,/wiki/The_Heiress,False,"{'Domestic': 'N/A', 'International': '$158', 'Worldwide': '$158'}"
168,1949,A Letter to Three Wives,/wiki/A_Letter_to_Three_Wives,False,"{'Domestic': 'N/A', 'International': '$14,768', 'Worldwide': '$14,768'}"
169,1949,Twelve O'Clock High,/wiki/Twelve_O%27Clock_High,False,"{'Domestic': 'N/A', 'International': 'N/A', 'Worldwide': 'N/A'}"
174,1950,Sunset Boulevard ,/wiki/Sunset_Boulevard_(film),False,"{'Domestic': '$299,645', 'International': '$428', 'Worldwide': '$300,073'}"
173,1950,King Solomon's Mines ,/wiki/King_Solomon%27s_Mines_(1950_film),False,"{'Domestic': '$15,057,465', 'International': 'N/A', 'Worldwide': '$15,057,465'}"
