,year,film,wiki,winner
0,1927,Wings ,/wiki/Wings_(1927_film),True
1,1927,7th Heaven ,/wiki/7th_Heaven_(1927_film),False
2,1927,The Racket ,/wiki/The_Racket_(1928_film),False
4,1928,Alibi ,/wiki/Alibi_(1929_film),False
5,1928,Hollywood Revue,/wiki/Hollywood_Revue,False
7,1928,The Patriot ,/wiki/The_Patriot_(1928_film),False
8,1929,All Quiet on the Western Front ,/wiki/All_Quiet_on_the_Western_Front_(1930_film),True
9,1929,The Big House ,/wiki/The_Big_House_(1930_film),False
10,1929,Disraeli ,/wiki/Disraeli_(1929_film),False
13,1930,Cimarron ,/wiki/Cimarron_(1931_film),True
14,1930,East Lynne ,/wiki/East_Lynne_(1931_film),False
15,1930,The Front Page ,/wiki/The_Front_Page_(1931_film),False
16,1930,Skippy ,/wiki/Skippy_(film),False
17,1930,Trader Horn ,/wiki/Trader_Horn_(1931_film),False
18,1931,Grand Hotel ,/wiki/Grand_Hotel_(1932_film),True
19,1931,Arrowsmith ,/wiki/Arrowsmith_(film),False
20,1931,Bad Girl ,/wiki/Bad_Girl_(1931_film),False
21,1931,The Champ ,/wiki/The_Champ_(1931_film),False
24,1931,Shanghai Express ,/wiki/Shanghai_Express_(film),False
26,1932,Cavalcade ,/wiki/Cavalcade_(1933_film),True
27,1932,42nd Street ,/wiki/42nd_Street_(film),False
28,1932,A Farewell to Arms ,/wiki/A_Farewell_to_Arms_(1932_film),False
31,1932,Little Women ,/wiki/Little_Women_(1933_film),False
34,1932,Smilin' Through ,/wiki/Smilin%27_Through_(1932_film),False
35,1932,State Fair ,/wiki/State_Fair_(1933_film),False
37,1934,The Barretts of Wimpole Street ,/wiki/The_Barretts_of_Wimpole_Street_(1934_film),False
38,1934,Cleopatra ,/wiki/Cleopatra_(1934_film),False
43,1934,Imitation of Life ,/wiki/Imitation_of_Life_(1934_film),False
45,1934,The Thin Man ,/wiki/The_Thin_Man_(film),False
48,1935,Mutiny on the Bounty ,/wiki/Mutiny_on_the_Bounty_(1935_film),True
49,1935,Alice Adams ,/wiki/Alice_Adams_(1935_film),False
51,1935,Captain Blood ,/wiki/Captain_Blood_(1935_film),False
52,1935,David Copperfield ,/wiki/David_Copperfield_(1935_film),False
53,1935,The Informer ,/wiki/The_Informer_(1935_film),False
54,1935,The Lives of a Bengal Lancer ,/wiki/The_Lives_of_a_Bengal_Lancer_(film),False
55,1935,A Midsummer Night's Dream ,/wiki/A_Midsummer_Night%27s_Dream_(1935_film),False
56,1935,Les Misérables ,/wiki/Les_Mis%C3%A9rables_(1935_film),False
57,1935,Naughty Marietta ,/wiki/Naughty_Marietta_(film),False
62,1936,Dodsworth ,/wiki/Dodsworth_(film),False
65,1936,Romeo and Juliet ,/wiki/Romeo_and_Juliet_(1936_film),False
66,1936,San Francisco ,/wiki/San_Francisco_(1936_film),False
68,1936,A Tale of Two Cities ,/wiki/A_Tale_of_Two_Cities_(1935_film),False
72,1937,Captains Courageous ,/wiki/Captains_Courageous_(1937_film),False
73,1937,Dead End ,/wiki/Dead_End_(1937_film),False
74,1937,The Good Earth ,/wiki/The_Good_Earth_(film),False
76,1937,Lost Horizon ,/wiki/Lost_Horizon_(1937_film),False
79,1937,A Star Is Born ,/wiki/A_Star_Is_Born_(1937_film),False
80,1938,You Can't Take It with You ,/wiki/You_Can%27t_Take_It_with_You_(film),True
82,1938,Alexander's Ragtime Band ,/wiki/Alexander%27s_Ragtime_Band_(film),False
83,1938,Boys Town ,/wiki/Boys_Town_(film),False
84,1938,The Citadel ,/wiki/The_Citadel_(1938_film),False
87,1938,Jezebel ,/wiki/Jezebel_(1938_film),False
88,1938,Pygmalion ,/wiki/Pygmalion_(1938_film),False
89,1938,Test Pilot ,/wiki/Test_Pilot_(film),False
90,1939,Gone with the Wind ,/wiki/Gone_with_the_Wind_(film),True
92,1939,"Goodbye, Mr. Chips ","/wiki/Goodbye,_Mr._Chips_(1939_film)",False
93,1939,Love Affair ,/wiki/Love_Affair_(1939_film),False
96,1939,Of Mice and Men ,/wiki/Of_Mice_and_Men_(1939_film),False
97,1939,Stagecoach ,/wiki/Stagecoach_(1939_film),False
98,1939,The Wizard of Oz ,/wiki/The_Wizard_of_Oz_(1939_film),False
99,1939,Wuthering Heights ,/wiki/Wuthering_Heights_(1939_film),False
100,1940,Rebecca ,/wiki/Rebecca_(1940_film),True
102,1940,Foreign Correspondent ,/wiki/Foreign_Correspondent_(film),False
103,1940,The Grapes of Wrath ,/wiki/The_Grapes_of_Wrath_(film),False
105,1940,Kitty Foyle ,/wiki/Kitty_Foyle_(film),False
106,1940,The Letter ,/wiki/The_Letter_(1940_film),False
108,1940,Our Town ,/wiki/Our_Town_(1940_film),False
109,1940,The Philadelphia Story ,/wiki/The_Philadelphia_Story_(film),False
110,1941,How Green Was My Valley ,/wiki/How_Green_Was_My_Valley_(film),True
115,1941,The Little Foxes ,/wiki/The_Little_Foxes_(film),False
116,1941,The Maltese Falcon ,/wiki/The_Maltese_Falcon_(1941_film),False
118,1941,Sergeant York ,/wiki/Sergeant_York_(film),False
119,1941,Suspicion ,/wiki/Suspicion_(1941_film),False
121,1942,49th Parallel ,/wiki/49th_Parallel_(film),False
123,1942,The Magnificent Ambersons ,/wiki/The_Magnificent_Ambersons_(film),False
124,1942,The Pied Piper ,/wiki/The_Pied_Piper_(1942_film),False
126,1942,Random Harvest ,/wiki/Random_Harvest_(film),False
127,1942,The Talk of the Town ,/wiki/The_Talk_of_the_Town_(1942_film),False
128,1942,Wake Island ,/wiki/Wake_Island_(film),False
130,1943,Casablanca ,/wiki/Casablanca_(film),True
131,1943,For Whom the Bell Tolls ,/wiki/For_Whom_the_Bell_Tolls_(film),False
132,1943,Heaven Can Wait ,/wiki/Heaven_Can_Wait_(1943_film),False
133,1943,The Human Comedy ,/wiki/The_Human_Comedy_(film),False
135,1943,Madame Curie ,/wiki/Madame_Curie_(film),False
138,1943,The Song of Bernadette ,/wiki/The_Song_of_Bernadette_(film),False
142,1944,Gaslight ,/wiki/Gaslight_(1944_film),False
144,1944,Wilson ,/wiki/Wilson_(1944_film),False
145,1945,The Lost Weekend ,/wiki/The_Lost_Weekend_(film),True
146,1945,Anchors Aweigh ,/wiki/Anchors_Aweigh_(film),False
148,1945,Mildred Pierce ,/wiki/Mildred_Pierce_(film),False
149,1945,Spellbound ,/wiki/Spellbound_(1945_film),False
151,1946,Henry V ,/wiki/Henry_V_(1944_film),False
153,1946,The Razor's Edge ,/wiki/The_Razor%27s_Edge_(1946_film),False
154,1946,The Yearling ,/wiki/The_Yearling_(1946_film),False
157,1947,Crossfire ,/wiki/Crossfire_(film),False
158,1947,Great Expectations ,/wiki/Great_Expectations_(1946_film),False
160,1948,Hamlet ,/wiki/Hamlet_(1948_film),True
161,1948,Johnny Belinda ,/wiki/Johnny_Belinda_(1948_film),False
162,1948,The Red Shoes ,/wiki/The_Red_Shoes_(1948_film),False
164,1948,The Treasure of the Sierra Madre ,/wiki/The_Treasure_of_the_Sierra_Madre_(film),False
165,1949,All the King's Men ,/wiki/All_the_King%27s_Men_(1949_film),True
166,1949,Battleground ,/wiki/Battleground_(film),False
171,1950,Born Yesterday ,/wiki/Born_Yesterday_(1950_film),False
172,1950,Father of the Bride ,/wiki/Father_of_the_Bride_(1950_film),False
173,1950,King Solomon's Mines ,/wiki/King_Solomon%27s_Mines_(1950_film),False
174,1950,Sunset Boulevard ,/wiki/Sunset_Boulevard_(film),False
175,1951,An American in Paris ,/wiki/An_American_in_Paris_(film),True
177,1951,A Place in the Sun ,/wiki/A_Place_in_the_Sun_(1951_film),False
178,1951,Quo Vadis ,/wiki/Quo_Vadis_(1951_film),False
179,1951,A Streetcar Named Desire ,/wiki/A_Streetcar_Named_Desire_(1951_film),False
180,1952,The Greatest Show on Earth ,/wiki/The_Greatest_Show_on_Earth_(film),True
182,1952,Ivanhoe ,/wiki/Ivanhoe_(1952_film),False
183,1952,Moulin Rouge ,/wiki/Moulin_Rouge_(1952_film),False
186,1953,Julius Caesar ,/wiki/Julius_Caesar_(1953_film),False
187,1953,The Robe ,/wiki/The_Robe_(film),False
189,1953,Shane ,/wiki/Shane_(film),False
191,1954,The Caine Mutiny ,/wiki/The_Caine_Mutiny_(film),False
192,1954,The Country Girl ,/wiki/The_Country_Girl_(1954_film),False
194,1954,Three Coins in the Fountain ,/wiki/Three_Coins_in_the_Fountain_(film),False
195,1955,Marty ,/wiki/Marty_(film),True
196,1955,Love Is a Many-Splendored Thing ,/wiki/Love_Is_a_Many-Splendored_Thing_(film),False
197,1955,Mister Roberts ,/wiki/Mister_Roberts_(1955_film),False
198,1955,Picnic ,/wiki/Picnic_(1955_film),False
199,1955,The Rose Tattoo ,/wiki/The_Rose_Tattoo_(film),False
200,1956,Around the World in 80 Days ,/wiki/Around_the_World_in_80_Days_(1956_film),True
201,1956,Friendly Persuasion ,/wiki/Friendly_Persuasion_(1956_film),False
202,1956,Giant ,/wiki/Giant_(1956_film),False
203,1956,The King and I ,/wiki/The_King_and_I_(1956_film),False
204,1956,The Ten Commandments ,/wiki/The_Ten_Commandments_(1956_film),False
206,1957,12 Angry Men ,/wiki/12_Angry_Men_(1957_film),False
207,1957,Peyton Place ,/wiki/Peyton_Place_(film),False
209,1957,Witness for the Prosecution ,/wiki/Witness_for_the_Prosecution_(1957_film),False
210,1958,Gigi ,/wiki/Gigi_(1958_film),True
211,1958,Auntie Mame ,/wiki/Auntie_Mame_(film),False
212,1958,Cat on a Hot Tin Roof ,/wiki/Cat_on_a_Hot_Tin_Roof_(1958_film),False
214,1958,Separate Tables ,/wiki/Separate_Tables_(film),False
215,1959,Ben-Hur ,/wiki/Ben-Hur_(1959_film),True
217,1959,The Diary of Anne Frank ,/wiki/The_Diary_of_Anne_Frank_(1959_film),False
218,1959,The Nun's Story ,/wiki/The_Nun%27s_Story_(film),False
219,1959,Room at the Top ,/wiki/Room_at_the_Top_(1959_film),False
221,1960,The Alamo ,/wiki/The_Alamo_(1960_film),False
222,1960,Elmer Gantry ,/wiki/Elmer_Gantry_(film),False
223,1960,Sons and Lovers ,/wiki/Sons_and_Lovers_(film),False
224,1960,The Sundowners ,/wiki/The_Sundowners_(1960_film),False
225,1961,West Side Story ,/wiki/West_Side_Story_(1961_film),True
226,1961,Fanny ,/wiki/Fanny_(1961_film),False
227,1961,The Guns of Navarone ,/wiki/The_Guns_of_Navarone_(film),False
230,1962,Lawrence of Arabia ,/wiki/Lawrence_of_Arabia_(film),True
231,1962,The Longest Day ,/wiki/The_Longest_Day_(film),False
232,1962,The Music Man ,/wiki/The_Music_Man_(1962_film),False
233,1962,Mutiny on the Bounty ,/wiki/Mutiny_on_the_Bounty_(1962_film),False
234,1962,To Kill a Mockingbird ,/wiki/To_Kill_a_Mockingbird_(film),False
235,1963,Tom Jones ,/wiki/Tom_Jones_(1963_film),True
237,1963,Cleopatra ,/wiki/Cleopatra_(1963_film),False
238,1963,How the West Was Won ,/wiki/How_the_West_Was_Won_(film),False
239,1963,Lilies of the Field ,/wiki/Lilies_of_the_Field_(1963_film),False
240,1964,My Fair Lady ,/wiki/My_Fair_Lady_(film),True
241,1964,Becket ,/wiki/Becket_(1964_film),False
243,1964,Mary Poppins ,/wiki/Mary_Poppins_(film),False
244,1964,Zorba the Greek ,/wiki/Zorba_the_Greek_(film),False
245,1965,The Sound of Music ,/wiki/The_Sound_of_Music_(film),True
246,1965,Darling ,/wiki/Darling_(1965_film),False
247,1965,Doctor Zhivago ,/wiki/Doctor_Zhivago_(film),False
248,1965,Ship of Fools ,/wiki/Ship_of_Fools_(film),False
250,1966,A Man for All Seasons ,/wiki/A_Man_for_All_Seasons_(1966_film),True
251,1966,Alfie ,/wiki/Alfie_(1966_film),False
252,1966,"The Russians Are Coming, the Russians Are Coming","/wiki/The_Russians_Are_Coming,_the_Russians_Are_Coming",False
253,1966,The Sand Pebbles ,/wiki/The_Sand_Pebbles_(film),False
254,1966,Who's Afraid of Virginia Woolf? ,/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F_(film),False
255,1967,In the Heat of the Night ,/wiki/In_the_Heat_of_the_Night_(film),True
256,1967,Bonnie and Clyde ,/wiki/Bonnie_and_Clyde_(film),False
257,1967,Doctor Dolittle ,/wiki/Doctor_Dolittle_(1967_film),False
260,1968,Oliver! ,/wiki/Oliver!_(film),True
261,1968,Funny Girl ,/wiki/Funny_Girl_(film),False
262,1968,The Lion in Winter ,/wiki/The_Lion_in_Winter_(1968_film),False
264,1968,Romeo and Juliet ,/wiki/Romeo_and_Juliet_(1968_film),False
268,1969,"Hello, Dolly! ","/wiki/Hello,_Dolly!_(film)",False
269,1969,Z ,/wiki/Z_(1969_film),False
270,1970,Patton ,/wiki/Patton_(film),True
271,1970,Airport ,/wiki/Airport_(1970_film),False
273,1970,Love Story ,/wiki/Love_Story_(1970_film),False
274,1970,M*A*S*H ,/wiki/M*A*S*H_(film),False
275,1971,The French Connection ,/wiki/The_French_Connection_(film),True
276,1971,A Clockwork Orange ,/wiki/A_Clockwork_Orange_(film),False
277,1971,Fiddler on the Roof ,/wiki/Fiddler_on_the_Roof_(film),False
281,1972,Cabaret ,/wiki/Cabaret_(1972_film),False
283,1972,The Emigrants ,/wiki/The_Emigrants_(film),False
284,1972,Sounder ,/wiki/Sounder_(film),False
289,1973,A Touch of Class ,/wiki/A_Touch_of_Class_(film),False
291,1974,Chinatown ,/wiki/Chinatown_(1974_film),False
293,1974,Lenny ,/wiki/Lenny_(film),False
295,1975,One Flew Over the Cuckoo's Nest ,/wiki/One_Flew_Over_the_Cuckoo%27s_Nest_(film),True
298,1975,Jaws ,/wiki/Jaws_(film),False
299,1975,Nashville ,/wiki/Nashville_(film),False
301,1976,All the President's Men ,/wiki/All_the_President%27s_Men_(film),False
302,1976,Bound for Glory ,/wiki/Bound_for_Glory_(1976_film),False
303,1976,Network ,/wiki/Network_(1976_film),False
307,1977,Julia ,/wiki/Julia_(1977_film),False
308,1977,Star Wars ,/wiki/Star_Wars_(film),False
309,1977,The Turning Point ,/wiki/The_Turning_Point_(1977_film),False
311,1978,Coming Home ,/wiki/Coming_Home_(1978_film),False
312,1978,Heaven Can Wait ,/wiki/Heaven_Can_Wait_(1978_film),False
313,1978,Midnight Express ,/wiki/Midnight_Express_(film),False
316,1979,All That Jazz ,/wiki/All_That_Jazz_(film),False
321,1980,Coal Miner's Daughter ,/wiki/Coal_Miner%27s_Daughter_(film),False
322,1980,The Elephant Man ,/wiki/The_Elephant_Man_(film),False
324,1980,Tess ,/wiki/Tess_(1979_film),False
326,1981,Atlantic City ,/wiki/Atlantic_City_(1980_film),False
327,1981,On Golden Pond ,/wiki/On_Golden_Pond_(1981_film),False
329,1981,Reds ,/wiki/Reds_(film),False
330,1982,Gandhi ,/wiki/Gandhi_(film),True
332,1982,Missing ,/wiki/Missing_(1982_film),False
336,1983,The Big Chill ,/wiki/The_Big_Chill_(film),False
337,1983,The Dresser ,/wiki/The_Dresser_(1983_film),False
338,1983,The Right Stuff ,/wiki/The_Right_Stuff_(film),False
340,1984,Amadeus ,/wiki/Amadeus_(film),True
341,1984,The Killing Fields ,/wiki/The_Killing_Fields_(film),False
342,1984,A Passage to India ,/wiki/A_Passage_to_India_(film),False
345,1985,Out of Africa ,/wiki/Out_of_Africa_(film),True
346,1985,The Color Purple ,/wiki/The_Color_Purple_(1985_film),False
347,1985,Kiss of the Spider Woman ,/wiki/Kiss_of_the_Spider_Woman_(film),False
349,1985,Witness ,/wiki/Witness_(1985_film),False
350,1986,Platoon ,/wiki/Platoon_(film),True
351,1986,Children of a Lesser God ,/wiki/Children_of_a_Lesser_God_(film),False
353,1986,The Mission ,/wiki/The_Mission_(1986_film),False
354,1986,A Room with a View ,/wiki/A_Room_with_a_View_(1985_film),False
356,1987,Broadcast News ,/wiki/Broadcast_News_(film),False
358,1987,Hope and Glory ,/wiki/Hope_and_Glory_(film),False
361,1988,The Accidental Tourist ,/wiki/The_Accidental_Tourist_(film),False
366,1989,Born on the Fourth of July ,/wiki/Born_on_the_Fourth_of_July_(film),False
372,1990,Ghost ,/wiki/Ghost_(1990_film),False
375,1991,The Silence of the Lambs ,/wiki/The_Silence_of_the_Lambs_(film),True
376,1991,Beauty and the Beast ,/wiki/Beauty_and_the_Beast_(1991_film),False
378,1991,JFK ,/wiki/JFK_(film),False
383,1992,Howards End ,/wiki/Howards_End_(film),False
384,1992,Scent of a Woman ,/wiki/Scent_of_a_Woman_(1992_film),False
386,1993,The Fugitive ,/wiki/The_Fugitive_(1993_film),False
387,1993,In the Name of the Father ,/wiki/In_the_Name_of_the_Father_(film),False
389,1993,The Remains of the Day ,/wiki/The_Remains_of_the_Day_(film),False
393,1994,Quiz Show ,/wiki/Quiz_Show_(film),False
396,1995,Apollo 13 ,/wiki/Apollo_13_(film),False
397,1995,Babe ,/wiki/Babe_(film),False
398,1995,Il Postino: The Postman,/wiki/Il_Postino:_The_Postman,False
399,1995,Sense and Sensibility ,/wiki/Sense_and_Sensibility_(film),False
400,1996,The English Patient ,/wiki/The_English_Patient_(film),True
401,1996,Fargo ,/wiki/Fargo_(1996_film),False
403,1996,Secrets & Lies ,/wiki/Secrets_%26_Lies_(film),False
404,1996,Shine ,/wiki/Shine_(film),False
405,1997,Titanic ,/wiki/Titanic_(1997_film),True
409,1997,L.A. Confidential ,/wiki/L.A._Confidential_(film),False
411,1998,Elizabeth ,/wiki/Elizabeth_(film),False
414,1998,The Thin Red Line ,/wiki/The_Thin_Red_Line_(1998_film),False
415,1999,American Beauty ,/wiki/American_Beauty_(1999_film),True
416,1999,The Cider House Rules ,/wiki/The_Cider_House_Rules_(film),False
417,1999,The Green Mile ,/wiki/The_Green_Mile_(film),False
418,1999,The Insider ,/wiki/The_Insider_(film),False
420,2000,Gladiator ,/wiki/Gladiator_(2000_film),True
421,2000,Chocolat ,/wiki/Chocolat_(2000_film),False
423,2000,Erin Brockovich ,/wiki/Erin_Brockovich_(film),False
424,2000,Traffic ,/wiki/Traffic_(2000_film),False
425,2001,A Beautiful Mind ,/wiki/A_Beautiful_Mind_(film),True
430,2002,Chicago ,/wiki/Chicago_(2002_film),True
432,2002,The Hours ,/wiki/The_Hours_(film),False
434,2002,The Pianist ,/wiki/The_Pianist_(2002_film),False
436,2003,Lost in Translation ,/wiki/Lost_in_Translation_(film),False
438,2003,Mystic River ,/wiki/Mystic_River_(film),False
439,2003,Seabiscuit ,/wiki/Seabiscuit_(film),False
441,2004,The Aviator ,/wiki/The_Aviator_(2004_film),False
442,2004,Finding Neverland ,/wiki/Finding_Neverland_(film),False
443,2004,Ray ,/wiki/Ray_(film),False
445,2005,Crash ,/wiki/Crash_(2004_film),True
447,2005,Capote ,/wiki/Capote_(film),False
448,2005,"Good Night, and Good Luck","/wiki/Good_Night,_and_Good_Luck",False
449,2005,Munich ,/wiki/Munich_(2005_film),False
451,2006,Babel ,/wiki/Babel_(film),False
454,2006,The Queen ,/wiki/The_Queen_(2006_film),False
456,2007,Atonement ,/wiki/Atonement_(2007_film),False
457,2007,Juno ,/wiki/Juno_(film),False
458,2007,Michael Clayton ,/wiki/Michael_Clayton_(film),False
461,2008,The Curious Case of Benjamin Button ,/wiki/The_Curious_Case_of_Benjamin_Button_(film),False
462,2008,Frost/Nixon ,/wiki/Frost/Nixon_(film),False
463,2008,Milk ,/wiki/Milk_(2008_American_film),False
464,2008,The Reader ,/wiki/The_Reader_(2008_film),False
466,2009,Avatar ,/wiki/Avatar_(2009_film),False
467,2009,The Blind Side ,/wiki/The_Blind_Side_(film),False
471,2009,Precious ,/wiki/Precious_(film),False
473,2009,Up ,/wiki/Up_(2009_film),False
474,2009,Up in the Air ,/wiki/Up_in_the_Air_(2009_film),False
476,2010,Black Swan ,/wiki/Black_Swan_(film),False
479,2010,The Kids Are All Right ,/wiki/The_Kids_Are_All_Right_(film),False
483,2010,True Grit ,/wiki/True_Grit_(2010_film),False
485,2011,The Artist ,/wiki/The_Artist_(film),True
487,2011,Extremely Loud & Incredibly Close ,/wiki/Extremely_Loud_%26_Incredibly_Close_(film),False
488,2011,The Help ,/wiki/The_Help_(film),False
489,2011,Hugo ,/wiki/Hugo_(film),False
491,2011,Moneyball ,/wiki/Moneyball_(film),False
492,2011,The Tree of Life ,/wiki/The_Tree_of_Life_(film),False
493,2011,War Horse ,/wiki/War_Horse_(film),False
494,2012,Argo ,/wiki/Argo_(2012_film),True
495,2012,Amour ,/wiki/Amour_(2012_film),False
498,2012,Life of Pi ,/wiki/Life_of_Pi_(film),False
499,2012,Lincoln ,/wiki/Lincoln_(film),False
500,2012,Les Misérables ,/wiki/Les_Mis%C3%A9rables_(2012_film),False
503,2013,12 Years a Slave ,/wiki/12_Years_a_Slave_(film),True
505,2013,Captain Phillips ,/wiki/Captain_Phillips_(film),False
507,2013,Gravity ,/wiki/Gravity_(2013_film),False
508,2013,Her ,/wiki/Her_(film),False
509,2013,Nebraska ,/wiki/Nebraska_(film),False
510,2013,Philomena ,/wiki/Philomena_(film),False
511,2013,The Wolf of Wall Street ,/wiki/The_Wolf_of_Wall_Street_(2013_film),False
512,2014,Birdman ,/wiki/Birdman_(film),True
514,2014,Boyhood ,/wiki/Boyhood_(2014_film),False
517,2014,Selma ,/wiki/Selma_(film),False
518,2014,The Theory of Everything ,/wiki/The_Theory_of_Everything_(2014_film),False
519,2014,Whiplash ,/wiki/Whiplash_(2014_film),False
520,2015,Spotlight ,/wiki/Spotlight_(film),True
521,2015,The Big Short ,/wiki/The_Big_Short_(film),False
522,2015,Bridge of Spies ,/wiki/Bridge_of_Spies_(film),False
523,2015,Brooklyn ,/wiki/Brooklyn_(film),False
525,2015,The Martian ,/wiki/The_Martian_(film),False
526,2015,The Revenant ,/wiki/The_Revenant_(2015_film),False
527,2015,Room ,/wiki/Room_(2015_film),False
528,2016,Moonlight ,/wiki/Moonlight_(2016_film),True
529,2016,Arrival ,/wiki/Arrival_(film),False
530,2016,Fences ,/wiki/Fences_(film),False
532,2016,Hell or High Water ,/wiki/Hell_or_High_Water_(2016_film),False
535,2016,Lion ,/wiki/Lion_(2016_film),False
536,2016,Manchester by the Sea ,/wiki/Manchester_by_the_Sea_(film),False
538,2017,Call Me by Your Name ,/wiki/Call_Me_by_Your_Name_(film),False
539,2017,Darkest Hour ,/wiki/Darkest_Hour_(film),False
540,2017,Dunkirk ,/wiki/Dunkirk_(2017_film),False
542,2017,Lady Bird ,/wiki/Lady_Bird_(film),False
544,2017,The Post ,/wiki/The_Post_(film),False
546,2018,Green Book ,/wiki/Green_Book_(film),True
547,2018,Black Panther ,/wiki/Black_Panther_(film),False
549,2018,Bohemian Rhapsody ,/wiki/Bohemian_Rhapsody_(film),False
551,2018,Roma ,/wiki/Roma_(2018_film),False
552,2018,A Star Is Born ,/wiki/A_Star_Is_Born_(2018_film),False
553,2018,Vice ,/wiki/Vice_(2018_film),False
554,2019,Parasite ,/wiki/Parasite_(2019_film),True
558,2019,Joker ,/wiki/Joker_(2019_film),False
559,2019,Little Women ,/wiki/Little_Women_(2019_film),False
561,2019,1917 ,/wiki/1917_(2019_film),False
563,2020,Nomadland ,/wiki/Nomadland_(film),True
564,2020,The Father ,/wiki/The_Father_(2020_film),False
567,2020,Minari ,/wiki/Minari_(film),False
571,2021,CODA ,/wiki/CODA_(2021_film),True
572,2021,Belfast ,/wiki/Belfast_(film),False
574,2021,Drive My Car ,/wiki/Drive_My_Car_(film),False
575,2021,Dune ,/wiki/Dune_(2021_film),False
576,2021,King Richard ,/wiki/King_Richard_(film),False
578,2021,Nightmare Alley ,/wiki/Nightmare_Alley_(2021_film),False
579,2021,The Power of the Dog ,/wiki/The_Power_of_the_Dog_(film),False
580,2021,West Side Story ,/wiki/West_Side_Story_(2021_film),False
582,2022,All Quiet on the Western Front ,/wiki/All_Quiet_on_the_Western_Front_(2022_film),False
585,2022,Elvis ,/wiki/Elvis_(2022_film),False
590,2022,Women Talking ,/wiki/Women_Talking_(film),False
