,year,film,wiki,winner,rating,numVotes,worldwide_box_office,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film-noir,history,horror,music,musical,mystery,romance,sci-fi,sport,thriller,war,western,nominations,Oscar_win,nom_gg_drama,winner_gg_drama,nom_gg_comedy,winner_gg_comedy,nom_pga,winner_pga,nom_bafta,winner_bafta,nom_dga,winner_dga,nom_sag,winner_sag
128,1946,The Best Years of Our Lives,/wiki/The_Best_Years_of_Our_Lives,True,8.1,66826.0,23661347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,1,1,1,0,0,0,0,0,0,0,0,0,0
129,1946,Henry V ,/wiki/Henry_V_(1944_film),False,7.5,30647.0,10161099,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,1946,It's a Wonderful Life,/wiki/It%27s_a_Wonderful_Life,False,8.6,470690.0,8574081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,1946,The Razor's Edge ,/wiki/The_Razor%27s_Edge_(1946_film),False,6.4,5665.0,6551987,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,1947,The Bishop's Wife,/wiki/The_Bishop%27s_Wife,False,7.6,19305.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,1947,Crossfire ,/wiki/Crossfire_(film),False,5.7,2340.0,456350,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,1947,Great Expectations ,/wiki/Great_Expectations_(1946_film),False,4.9,2169.0,55494066,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,1947,Miracle on 34th Street,/wiki/Miracle_on_34th_Street,False,7.9,51123.0,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,1948,Hamlet ,/wiki/Hamlet_(1948_film),True,7.7,38945.0,6288230,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0
139,1948,The Red Shoes ,/wiki/The_Red_Shoes_(1948_film),False,8.1,36741.0,30846,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1948,The Snake Pit,/wiki/The_Snake_Pit,False,7.6,8019.0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,1,0,0,0
141,1948,The Treasure of the Sierra Madre ,/wiki/The_Treasure_of_the_Sierra_Madre_(film),False,8.2,127703.0,5014000,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0,0,1,1,0,0,0,0,0,0,0,0,0,0
142,1949,All the King's Men ,/wiki/All_the_King%27s_Men_(1949_film),True,6.1,25115.0,9451623,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,1,1,1,0,0,0,0,0,0,0,0,0,0
143,1949,Battleground ,/wiki/Battleground_(film),False,7.4,7548.0,10337,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,1949,The Heiress,/wiki/The_Heiress,False,8.1,16404.0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,1949,A Letter to Three Wives,/wiki/A_Letter_to_Three_Wives,False,7.7,10176.0,14768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,1,1,0,0
147,1950,All About Eve,/wiki/All_About_Eve,True,8.2,133678.0,151052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,1,1,0,0,0,0,0,0,0,1,1,0,0
148,1950,Born Yesterday ,/wiki/Born_Yesterday_(1950_film),False,7.5,11779.0,17952857,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0
149,1950,Father of the Bride ,/wiki/Father_of_the_Bride_(1950_film),False,6.5,80195.0,89325780,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1950,King Solomon's Mines ,/wiki/King_Solomon%27s_Mines_(1950_film),False,5.2,14154.0,15057465,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,1951,An American in Paris ,/wiki/An_American_in_Paris_(film),True,7.2,35210.0,272619,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7.0,1,0,0,1,1,0,0,0,0,0,0,0,0
152,1951,Decision Before Dawn,/wiki/Decision_Before_Dawn,False,7.2,2824.0,608881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,1,0,0,0
154,1951,Quo Vadis ,/wiki/Quo_Vadis_(1951_film),False,7.1,15868.0,101486,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0
155,1951,A Streetcar Named Desire ,/wiki/A_Streetcar_Named_Desire_(1951_film),False,7.9,110938.0,49523,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0
157,1952,Ivanhoe ,/wiki/Ivanhoe_(1952_film),False,6.7,5233.0,5246,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,1952,Moulin Rouge ,/wiki/Moulin_Rouge_(1952_film),False,7.6,290938.0,184935320,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,1953,From Here to Eternity,/wiki/From_Here_to_Eternity,True,7.6,48692.0,36416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,1,0,0,0,0,0,0,0,0,1,1,0,0
161,1953,Julius Caesar ,/wiki/Julius_Caesar_(1953_film),False,7.2,12139.0,10831,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,1953,The Robe ,/wiki/The_Robe_(film),False,6.7,11057.0,36010866,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7.0,0,1,1,0,0,0,0,0,0,0,0,0,0
163,1953,Roman Holiday,/wiki/Roman_Holiday,False,8.0,142075.0,6607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,0,0,0,0,0,0,0,0,1,0,0,0
164,1953,Shane ,/wiki/Shane_(film),False,7.6,42337.0,146987,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,1954,The Caine Mutiny ,/wiki/The_Caine_Mutiny_(film),False,7.7,28651.0,21750000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,1954,The Country Girl ,/wiki/The_Country_Girl_(1954_film),False,7.2,6315.0,98005666,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,1954,Seven Brides for Seven Brothers,/wiki/Seven_Brides_for_Seven_Brothers,False,7.3,25997.0,13672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,1,0,0,0
169,1954,Three Coins in the Fountain ,/wiki/Three_Coins_in_the_Fountain_(film),False,6.2,3571.0,46808,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,1955,Love Is a Many-Splendored Thing ,/wiki/Love_Is_a_Many-Splendored_Thing_(film),False,6.4,5166.0,30330,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,1955,Picnic ,/wiki/Picnic_(1955_film),False,7.0,9268.0,4534,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,1955,The Rose Tattoo ,/wiki/The_Rose_Tattoo_(film),False,6.9,4275.0,29174648,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,1956,Around the World in 80 Days ,/wiki/Around_the_World_in_80_Days_(1956_film),True,7.2,10809.0,72178895,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0,1,1,1,0,0,0,0,0,0,0,0,0,0
176,1956,Giant ,/wiki/Giant_(1956_film),False,7.6,40537.0,32855818,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0
177,1956,The King and I ,/wiki/The_King_and_I_(1956_film),False,7.4,27069.0,21300415,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7.0,0,0,0,1,1,0,0,0,0,0,0,0,0
178,1956,The Ten Commandments ,/wiki/The_Ten_Commandments_(1956_film),False,7.9,74236.0,65500000,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,1957,The Bridge on the River Kwai,/wiki/The_Bridge_on_the_River_Kwai,True,8.1,225058.0,27200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,1,1,1,0,0,0,0,0,0,1,1,0,0
180,1957,12 Angry Men ,/wiki/12_Angry_Men_(1957_film),False,9.0,810542.0,955,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0
181,1957,Sayonara,/wiki/Sayonara,False,7.0,7148.0,50888729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,1,0,0,0,0,0,0,0,0,0,0,0
182,1957,Witness for the Prosecution ,/wiki/Witness_for_the_Prosecution_(1957_film),False,8.4,129180.0,7693,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0
186,1958,The Defiant Ones,/wiki/The_Defiant_Ones,False,7.6,16472.0,358399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,1959,Ben-Hur ,/wiki/Ben-Hur_(1959_film),True,8.1,244786.0,74437720,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,1,1,1,0,0,0,0,0,0,0,0,0,0
189,1959,Anatomy of a Murder,/wiki/Anatomy_of_a_Murder,False,8.0,68204.0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,1,0,0,0,0,0,0,0,1,0,0,0
190,1959,The Diary of Anne Frank ,/wiki/The_Diary_of_Anne_Frank_(1959_film),False,7.4,13207.0,3068263,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0
191,1959,The Nun's Story ,/wiki/The_Nun%27s_Story_(film),False,7.5,11179.0,365582797,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0
192,1960,The Apartment,/wiki/The_Apartment,True,8.3,185980.0,18778738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,1,0,0,0,0,0,0,1,1,1,1,0,0
193,1960,The Alamo ,/wiki/The_Alamo_(1960_film),False,6.8,16655.0,6334,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,1960,Elmer Gantry ,/wiki/Elmer_Gantry_(film),False,7.7,12179.0,64,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0
195,1960,Sons and Lovers ,/wiki/Sons_and_Lovers_(film),False,7.1,1682.0,414351546,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0
197,1961,West Side Story ,/wiki/West_Side_Story_(1961_film),True,7.2,88103.0,76016171,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7.0,1,0,0,1,1,0,0,0,0,0,0,0,0
198,2021,West Side Story ,/wiki/West_Side_Story_(2021_film),False,7.2,88103.0,76016171,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7.0,0,0,0,1,1,0,0,0,0,0,0,0,0
199,1961,Fanny ,/wiki/Fanny_(1961_film),False,6.8,2476.0,371657,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0
202,1961,Judgment at Nuremberg,/wiki/Judgment_at_Nuremberg,False,8.3,79629.0,12180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,0,1,0,0,0,0,0,1,0,1,0,0,0
203,1962,Lawrence of Arabia ,/wiki/Lawrence_of_Arabia_(film),True,8.3,300510.0,45720631,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.0,1,1,1,0,0,0,0,0,0,0,0,0,0
206,1962,To Kill a Mockingbird ,/wiki/To_Kill_a_Mockingbird_(film),False,8.3,321747.0,599146,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0
207,1963,America America,/wiki/America_America,False,7.7,5743.0,370569774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,1,0,0,0,0,0,0,0,1,0,0,0
208,1963,How the West Was Won ,/wiki/How_the_West_Was_Won_(film),False,7.0,22025.0,76729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,1963,Lilies of the Field ,/wiki/Lilies_of_the_Field_(1963_film),False,7.5,12527.0,2476539,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0
210,1964,My Fair Lady ,/wiki/My_Fair_Lady_(film),True,7.8,98305.0,72632653,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,7.0,1,0,0,1,1,0,0,0,0,0,0,0,0
211,1964,Becket ,/wiki/Becket_(1964_film),False,7.8,15266.0,149327,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.0,0,1,1,0,0,0,0,0,0,0,0,0,0
212,1964,Dr. Strangelove,/wiki/Dr._Strangelove,False,7.2,32.0,9523464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,1,1,1,0,0,0
213,1964,Mary Poppins ,/wiki/Mary_Poppins_(film),False,7.8,178103.0,103082380,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0
215,1965,The Sound of Music ,/wiki/The_Sound_of_Music_(film),True,8.1,244027.0,159437744,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0
216,1965,Darling ,/wiki/Darling_(1965_film),False,6.2,113753.0,87609403,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,1965,Doctor Zhivago ,/wiki/Doctor_Zhivago_(film),False,7.9,79217.0,111922142,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7.0,0,1,1,0,0,0,0,0,0,0,0,0,0
218,1965,Ship of Fools ,/wiki/Ship_of_Fools_(film),False,7.0,6517.0,2198044,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0
219,1965,A Thousand Clowns,/wiki/A_Thousand_Clowns,False,7.3,3568.0,3427211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0
221,1966,Alfie ,/wiki/Alfie_(1966_film),False,6.2,53899.0,35060882,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,1966,"The Russians Are Coming, the Russians Are Coming","/wiki/The_Russians_Are_Coming,_the_Russians_Are_Coming",False,7.0,9316.0,221359,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,1,0,0,0
224,1966,Who's Afraid of Virginia Woolf? ,/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F_(film),False,8.0,77348.0,28005068,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0
225,1967,In the Heat of the Night ,/wiki/In_the_Heat_of_the_Night_(film),True,7.6,5649.0,27669,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7.0,1,1,1,0,0,0,0,0,0,0,0,0,0
227,1967,Doctor Dolittle ,/wiki/Doctor_Dolittle_(1967_film),False,5.4,99350.0,294456605,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0
228,1967,The Graduate,/wiki/The_Graduate,False,8.0,279183.0,105015008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,1,1,0,0,1,1,1,1,0,0
229,1967,Guess Who's Coming to Dinner,/wiki/Guess_Who%27s_Coming_to_Dinner,False,7.8,46782.0,56666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,1,0,0,0,0,0,0,0,1,0,0,0
231,1968,Funny Girl ,/wiki/Funny_Girl_(film),False,7.3,23869.0,52224636,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0
232,1968,The Lion in Winter ,/wiki/The_Lion_in_Winter_(1968_film),False,7.9,32541.0,18177,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.0,0,1,1,0,0,0,0,0,0,0,0,0,0
233,1968,"Rachel, Rachel","/wiki/Rachel,_Rachel",False,7.1,3678.0,9200168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,1,0,0,0
234,1969,Midnight Cowboy,/wiki/Midnight_Cowboy,True,7.8,114634.0,44801177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,1,1,0,0,0,0,0,1,1,1,1,0,0
236,1969,Butch Cassidy and the Sundance Kid,/wiki/Butch_Cassidy_and_the_Sundance_Kid,False,8.0,220258.0,102311293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,1,0,0,0,0,0,1,1,1,0,0,0
237,1969,"Hello, Dolly! ","/wiki/Hello,_Dolly!_(film)",False,7.0,16126.0,400881,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0
238,1969,Z ,/wiki/Z_(1969_film),False,8.2,29921.0,49209277,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,1970,Patton ,/wiki/Patton_(film),True,7.9,104860.0,61749765,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.0,1,1,0,0,0,0,0,0,0,0,0,0,0
240,1970,Airport ,/wiki/Airport_(1970_film),False,6.6,20129.0,100489151,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0
242,1970,Love Story ,/wiki/Love_Story_(1970_film),False,6.9,35647.0,106550690,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.0,0,1,1,0,0,0,0,0,0,0,0,0,0
243,1970,M*A*S*H ,/wiki/M*A*S*H_(film),False,8.4,59843.0,81600000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,1971,The French Connection ,/wiki/The_French_Connection_(film),True,7.7,127344.0,51700666,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,1,1,1,0,0,0,0,0,0,0,0,0,0
245,1971,A Clockwork Orange ,/wiki/A_Clockwork_Orange_(film),False,8.3,846321.0,26960374,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0
246,1971,Fiddler on the Roof ,/wiki/Fiddler_on_the_Roof_(film),False,8.0,45321.0,10405457,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,1971,The Last Picture Show,/wiki/The_Last_Picture_Show,False,8.0,49803.0,29146131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,1,0,0,0,0,0,1,0,1,0,0,0
248,1971,Nicholas and Alexandra,/wiki/Nicholas_and_Alexandra,False,7.2,5252.0,1323126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0
