,year,film,wiki,winner,Acting,Production Design,Directing,VFX,Writing,Cinematography,Sound,Film Editing,Music
0,1927,Wings,/wiki/Wings_(1927_film),True,0,0,0,1,0,0,0,0,0
1,1927,7th Heaven,/wiki/7th_Heaven_(1927_film),False,1,1,1,0,1,0,0,0,0
2,1927,The Racket,/wiki/The_Racket_(1928_film),False,0,0,0,0,0,0,0,0,0
3,1928,The Broadway Melody,/wiki/The_Broadway_Melody,True,1,0,1,0,0,0,0,0,0
4,1928,Alibi,/wiki/Alibi_(1929_film),False,1,0,0,0,0,0,0,0,0
5,1928,Hollywood Revue,/wiki/Hollywood_Revue,False,0,0,0,0,0,0,0,0,0
6,1928,In Old Arizona,/wiki/In_Old_Arizona,False,1,0,1,0,0,1,0,0,0
7,1928,The Patriot,/wiki/The_Patriot_(1928_film),False,1,1,1,0,1,1,1,0,1
15,1929,The Love Parade,/wiki/The_Love_Parade,False,0,1,1,0,0,1,1,0,0
14,1929,The Divorcee,/wiki/The_Divorcee,False,1,0,1,0,1,0,0,0,0
13,1929,Disraeli,/wiki/Disraeli_(1929_film),False,1,0,0,0,1,0,0,0,0
12,1929,The Big House,/wiki/The_Big_House_(1930_film),False,1,0,0,0,1,0,1,0,0
9,1929,All Quiet on the Western Front,/wiki/All_Quiet_on_the_Western_Front_(1930_film),True,0,1,0,1,1,1,1,0,1
8,1929,All Quiet on the Western Front,/wiki/All_Quiet_on_the_Western_Front_(1930_film),True,0,1,1,1,1,1,1,0,1
20,1930,Trader Horn,/wiki/Trader_Horn_(1931_film),False,0,0,0,0,0,0,0,0,0
17,1930,East Lynne,/wiki/East_Lynne_(1931_film),False,0,0,0,0,0,0,0,0,0
16,1930,Cimarron,/wiki/Cimarron_(1931_film),True,1,1,1,0,1,1,1,0,0
19,1930,Skippy,/wiki/Skippy_(film),False,1,0,1,0,1,0,0,0,0
18,1930,The Front Page,/wiki/The_Front_Page_(1931_film),False,1,0,1,0,0,0,0,0,0
26,1931,One Hour with You,/wiki/One_Hour_with_You,False,0,0,0,0,0,0,0,0,0
27,1931,Shanghai Express,/wiki/Shanghai_Express_(film),False,0,0,1,0,0,1,0,0,0
25,1931,Five Star Final,/wiki/Five_Star_Final,False,0,0,0,0,0,0,0,0,0
24,1931,The Champ,/wiki/The_Champ_(1931_film),False,1,0,1,0,1,0,0,0,1
28,1931,The Smiling Lieutenant,/wiki/The_Smiling_Lieutenant,False,0,0,0,0,0,0,0,0,0
22,1931,Arrowsmith,/wiki/Arrowsmith_(film),False,0,1,0,0,1,1,0,0,0
21,1931,Grand Hotel,/wiki/Grand_Hotel_(1932_film),True,0,0,0,0,0,0,0,0,0
23,1931,Bad Girl,/wiki/Bad_Girl_(1931_film),False,0,0,1,0,1,0,0,0,0
39,1932,State Fair,/wiki/State_Fair_(1933_film),False,0,0,0,0,1,0,0,0,1
38,1932,Smilin' Through,/wiki/Smilin%27_Through_(1932_film),False,0,0,0,0,0,0,0,0,0
37,1932,She Done Him Wrong,/wiki/She_Done_Him_Wrong,False,0,0,0,0,0,0,0,0,0
36,1932,The Private Life of Henry VIII,/wiki/The_Private_Life_of_Henry_VIII,False,1,0,0,0,0,0,0,0,0
33,1932,Lady for a Day,/wiki/Lady_for_a_Day,False,1,0,1,0,1,0,0,0,0
34,1932,Little Women,/wiki/Little_Women_(1933_film),False,1,1,1,0,1,1,0,0,1
31,1932,A Farewell to Arms,/wiki/A_Farewell_to_Arms_(1932_film),False,0,1,0,0,0,1,1,0,0
30,1932,42nd Street,/wiki/42nd_Street_(film),False,0,0,0,0,0,0,1,0,0
29,1932,Cavalcade,/wiki/Cavalcade_(1933_film),True,1,1,1,0,0,0,0,0,0
32,1932,I Am a Fugitive from a Chain Gang,/wiki/I_Am_a_Fugitive_from_a_Chain_Gang,False,1,0,0,0,0,0,1,0,0
46,1934,Here Comes the Navy,/wiki/Here_Comes_the_Navy,False,0,0,0,0,0,0,0,0,0
49,1934,One Night of Love,/wiki/One_Night_of_Love,False,1,0,1,0,0,0,1,1,1
50,1934,The Thin Man,/wiki/The_Thin_Man_(film),False,1,0,1,0,1,0,0,0,0
51,1934,Viva Villa!,/wiki/Viva_Villa!,False,0,0,0,0,1,0,1,0,0
52,1934,The White Parade,/wiki/The_White_Parade,False,0,0,0,0,0,0,1,0,0
48,1934,Imitation of Life,/wiki/Imitation_of_Life_(1934_film),False,0,0,0,0,0,0,1,0,0
47,1934,The House of Rothschild,/wiki/The_House_of_Rothschild,False,0,0,0,0,0,0,0,0,0
45,1934,The Gay Divorcee,/wiki/The_Gay_Divorcee,False,0,1,0,0,0,0,1,0,1
40,1934,It Happened One Night,/wiki/It_Happened_One_Night,True,1,0,1,0,1,0,0,0,0
42,1934,Cleopatra,/wiki/Cleopatra_(1934_film),False,1,1,0,1,0,1,1,1,1
41,1934,The Barretts of Wimpole Street,/wiki/The_Barretts_of_Wimpole_Street_(1934_film),False,1,0,0,0,0,0,0,0,0
44,1934,Flirtation Walk,/wiki/Flirtation_Walk,False,0,0,0,0,0,0,1,0,0
62,1935,Les Misérables,/wiki/Les_Mis%C3%A9rables_(1935_film),False,1,1,0,0,0,0,1,0,1
64,1935,Naughty Marietta,/wiki/Naughty_Marietta_(film),False,0,0,0,0,0,0,1,0,0
59,1935,The Informer,/wiki/The_Informer_(1935_film),False,1,0,1,0,1,0,0,1,1
66,1935,Top Hat,/wiki/Top_Hat,False,0,1,0,0,0,0,0,0,1
65,1935,Ruggles of Red Gap,/wiki/Ruggles_of_Red_Gap,False,0,0,0,0,0,0,0,0,0
61,1935,A Midsummer Night's Dream,/wiki/A_Midsummer_Night%27s_Dream_(1935_film),False,0,0,0,0,0,1,0,1,0
60,1935,The Lives of a Bengal Lancer,/wiki/The_Lives_of_a_Bengal_Lancer_(film),False,0,1,1,0,1,0,1,1,0
57,1935,Captain Blood,/wiki/Captain_Blood_(1935_film),False,0,0,1,0,1,0,1,0,1
58,1935,David Copperfield,/wiki/David_Copperfield_(1935_film),False,0,0,0,0,0,0,0,1,0
55,1935,Alice Adams,/wiki/Alice_Adams_(1935_film),False,1,0,0,0,0,0,0,0,0
56,1935,Broadway Melody of 1936,/wiki/Broadway_Melody_of_1936,False,0,0,0,0,1,0,0,0,0
53,1935,Mutiny on the Bounty,/wiki/Mutiny_on_the_Bounty_(1935_film),True,1,1,1,1,1,1,0,1,1
68,1936,Anthony Adverse,/wiki/Anthony_Adverse,False,0,1,0,0,0,1,0,1,1
76,1936,A Tale of Two Cities,/wiki/A_Tale_of_Two_Cities_(1935_film),False,0,0,0,0,0,0,0,1,0
75,1936,The Story of Louis Pasteur,/wiki/The_Story_of_Louis_Pasteur,False,1,0,0,0,1,0,0,0,0
74,1936,San Francisco,/wiki/San_Francisco_(1936_film),False,1,0,1,0,1,0,1,0,0
72,1936,Romeo and Juliet,/wiki/Romeo_and_Juliet_(1936_film),False,1,1,1,0,0,1,0,0,0
67,1936,The Great Ziegfeld,/wiki/The_Great_Ziegfeld,True,1,1,1,0,1,0,0,1,0
77,1936,Three Smart Girls,/wiki/Three_Smart_Girls,False,0,0,0,0,1,0,1,0,0
69,1936,Dodsworth,/wiki/Dodsworth_(film),False,1,1,1,0,1,0,1,0,0
70,1936,Libeled Lady,/wiki/Libeled_Lady,False,0,0,0,0,0,0,0,0,0
71,1936,Mr. Deeds Goes to Town,/wiki/Mr._Deeds_Goes_to_Town,False,1,0,1,0,1,0,1,0,0
80,1937,Captains Courageous,/wiki/Captains_Courageous_(1937_film),False,1,0,0,0,1,0,0,1,0
87,1937,A Star Is Born,/wiki/A_Star_Is_Born_(1937_film),False,1,1,1,0,1,1,1,0,1
83,1937,In Old Chicago,/wiki/In_Old_Chicago,False,0,0,0,0,1,0,1,0,1
84,1937,Lost Horizon,/wiki/Lost_Horizon_(1937_film),False,0,1,0,0,0,0,1,1,1
85,1937,One Hundred Men and a Girl,/wiki/One_Hundred_Men_and_a_Girl,False,0,0,0,0,1,0,1,1,1
86,1937,Stage Door,/wiki/Stage_Door,False,0,0,1,0,1,0,0,0,0
81,1937,Dead End,/wiki/Dead_End_(1937_film),False,0,1,0,0,0,1,0,0,0
79,1937,The Awful Truth,/wiki/The_Awful_Truth,False,1,0,1,0,1,0,0,1,0
82,1937,The Good Earth,/wiki/The_Good_Earth_(film),False,1,0,1,0,0,1,0,1,0
78,1937,The Life of Emile Zola,/wiki/The_Life_of_Emile_Zola,True,1,1,1,0,1,0,1,0,1
93,1938,The Citadel,/wiki/The_Citadel_(1938_film),False,1,0,1,0,1,0,0,0,0
95,1938,Jezebel,/wiki/Jezebel_(1938_film),False,1,0,0,0,0,1,0,0,1
94,1938,Four Daughters,/wiki/Four_Daughters,False,0,0,1,0,1,0,1,0,0
92,1938,Boys Town,/wiki/Boys_Town_(film),False,1,0,1,0,1,0,0,0,0
91,1938,Alexander's Ragtime Band,/wiki/Alexander%27s_Ragtime_Band_(film),False,0,1,0,0,1,0,0,1,1
90,1938,The Adventures of Robin Hood,/wiki/The_Adventures_of_Robin_Hood,False,0,1,0,0,0,0,0,1,1
89,1938,You Can't Take It with You,/wiki/You_Can%27t_Take_It_with_You_(film),True,0,0,1,0,1,1,1,1,0
97,1938,Test Pilot,/wiki/Test_Pilot_(film),False,0,0,0,0,1,0,0,1,0
96,1938,Pygmalion,/wiki/Pygmalion_(1938_film),False,1,0,0,0,1,0,0,0,0
99,1939,Dark Victory,/wiki/Dark_Victory,False,1,0,0,0,0,0,0,0,1
100,1939,"Goodbye, Mr. Chips","/wiki/Goodbye,_Mr._Chips_(1939_film)",False,1,0,1,0,1,0,1,1,1
101,1939,Love Affair,/wiki/Love_Affair_(1939_film),False,1,1,0,0,1,0,0,0,1
102,1939,Mr. Smith Goes to Washington,/wiki/Mr._Smith_Goes_to_Washington,False,1,1,1,0,1,0,1,1,1
103,1939,Ninotchka,/wiki/Ninotchka,False,1,0,0,0,1,0,0,0,0
104,1939,Of Mice and Men,/wiki/Of_Mice_and_Men_(1939_film),False,0,0,0,0,0,1,1,0,1
105,1939,Stagecoach,/wiki/Stagecoach_(1939_film),False,0,1,1,0,0,1,0,1,1
98,1939,Gone with the Wind,/wiki/Gone_with_the_Wind_(film),True,1,1,1,1,1,1,1,1,1
107,1939,Wuthering Heights,/wiki/Wuthering_Heights_(1939_film),False,1,1,1,0,1,1,0,0,1
106,1939,The Wizard of Oz,/wiki/The_Wizard_of_Oz_(1939_film),False,0,1,0,1,0,1,0,0,1
115,1940,The Long Voyage Home,/wiki/The_Long_Voyage_Home,False,0,0,0,1,1,1,0,1,1
114,1940,The Letter,/wiki/The_Letter_(1940_film),False,1,0,1,0,0,1,0,1,1
113,1940,Kitty Foyle,/wiki/Kitty_Foyle_(film),False,1,0,1,0,1,0,1,0,0
112,1940,The Great Dictator,/wiki/The_Great_Dictator,False,1,0,0,0,1,0,0,0,1
111,1940,The Grapes of Wrath,/wiki/The_Grapes_of_Wrath_(film),False,1,0,1,0,1,0,1,1,0
110,1940,Foreign Correspondent,/wiki/Foreign_Correspondent_(film),False,0,1,0,1,1,1,0,0,0
108,1940,Rebecca,/wiki/Rebecca_(1940_film),True,1,1,1,1,1,1,0,1,1
109,1940,"All This, and Heaven Too","/wiki/All_This,_and_Heaven_Too",False,0,0,0,0,0,1,0,0,0
116,1940,Our Town,/wiki/Our_Town_(1940_film),False,1,1,0,0,0,0,1,0,1
117,1940,The Philadelphia Story,/wiki/The_Philadelphia_Story_(film),False,1,0,1,0,1,0,0,0,0
119,1941,Blossoms in the Dust,/wiki/Blossoms_in_the_Dust,False,1,1,0,0,0,1,0,0,0
125,1941,One Foot in Heaven,/wiki/One_Foot_in_Heaven,False,0,0,0,0,0,0,0,0,0
124,1941,The Maltese Falcon,/wiki/The_Maltese_Falcon_(1941_film),False,0,0,0,0,1,0,0,0,0
123,1941,The Little Foxes,/wiki/The_Little_Foxes_(film),False,1,1,1,0,1,0,0,1,1
120,1941,Citizen Kane,/wiki/Citizen_Kane,False,1,1,1,0,1,1,1,1,1
122,1941,Hold Back the Dawn,/wiki/Hold_Back_the_Dawn,False,1,1,0,0,1,1,0,0,1
121,1941,Here Comes Mr. Jordan,/wiki/Here_Comes_Mr._Jordan,False,1,0,1,0,1,1,0,0,0
118,1941,How Green Was My Valley,/wiki/How_Green_Was_My_Valley_(film),True,0,1,1,0,1,1,1,1,1
127,1941,Suspicion,/wiki/Suspicion_(1941_film),False,1,0,0,0,0,0,0,0,1
126,1941,Sergeant York,/wiki/Sergeant_York_(film),False,1,1,1,0,1,1,1,1,1
129,1942,Kings Row,/wiki/Kings_Row,False,0,0,1,0,0,1,0,0,0
131,1942,The Pied Piper,/wiki/The_Pied_Piper_(1942_film),False,1,0,0,0,0,1,0,0,0
132,1942,The Pride of the Yankees,/wiki/The_Pride_of_the_Yankees,False,1,1,0,1,1,1,1,1,1
133,1942,Random Harvest,/wiki/Random_Harvest_(film),False,1,1,1,0,1,0,0,0,1
134,1942,The Talk of the Town,/wiki/The_Talk_of_the_Town_(1942_film),False,0,1,0,0,1,1,0,1,1
135,1942,Wake Island,/wiki/Wake_Island_(film),False,0,0,1,0,1,0,0,0,0
128,1942,Mrs. Miniver,/wiki/Mrs._Miniver,True,1,0,1,1,1,1,1,1,0
130,1942,The Magnificent Ambersons,/wiki/The_Magnificent_Ambersons_(film),False,0,1,0,0,0,1,0,0,0
136,1942,Yankee Doodle Dandy,/wiki/Yankee_Doodle_Dandy,False,1,0,1,0,1,0,1,1,1
147,1943,Watch on the Rhine,/wiki/Watch_on_the_Rhine,False,1,0,0,0,1,0,0,0,0
146,1943,The Song of Bernadette,/wiki/The_Song_of_Bernadette_(film),False,1,1,1,0,1,1,1,1,1
145,1943,The Ox-Bow Incident,/wiki/The_Ox-Bow_Incident,False,0,0,0,0,0,0,0,0,0
144,1943,The More the Merrier,/wiki/The_More_the_Merrier,False,1,0,1,0,1,0,0,0,0
137,1943,Casablanca,/wiki/Casablanca_(film),True,1,0,1,0,1,1,0,1,1
138,1943,For Whom the Bell Tolls,/wiki/For_Whom_the_Bell_Tolls_(film),False,1,1,0,0,0,1,0,1,1
139,1943,Heaven Can Wait,/wiki/Heaven_Can_Wait_(1943_film),False,1,1,1,0,1,1,0,0,1
141,1943,The Human Comedy,/wiki/The_Human_Comedy_(film),False,1,0,1,0,1,1,0,0,0
142,1943,In Which We Serve,/wiki/In_Which_We_Serve,False,0,0,0,0,1,0,0,0,0
143,1943,Madame Curie,/wiki/Madame_Curie_(film),False,1,1,0,0,0,1,1,0,1
152,1944,Wilson,/wiki/Wilson_(1944_film),False,1,1,1,1,1,1,1,1,1
150,1944,Gaslight,/wiki/Gaslight_(1944_film),False,1,1,0,0,1,1,0,0,0
149,1944,Double Indemnity,/wiki/Double_Indemnity,False,1,0,1,0,1,1,1,0,1
148,1944,Going My Way,/wiki/Going_My_Way,True,1,0,1,0,1,1,0,1,1
151,1944,Since You Went Away,/wiki/Since_You_Went_Away,False,1,1,0,1,0,1,0,1,1
155,1945,The Bells of St. Mary's,/wiki/The_Bells_of_St._Mary%27s,False,1,0,1,0,0,0,1,1,1
156,1945,Mildred Pierce,/wiki/Mildred_Pierce_(film),False,1,0,0,0,1,1,0,0,0
157,1945,Spellbound,/wiki/Spellbound_(1945_film),False,0,0,1,1,0,1,0,0,1
154,1945,Anchors Aweigh,/wiki/Anchors_Aweigh_(film),False,1,0,0,0,0,1,0,0,1
153,1945,The Lost Weekend,/wiki/The_Lost_Weekend_(film),True,1,0,1,0,1,1,0,1,1
158,1946,The Best Years of Our Lives,/wiki/The_Best_Years_of_Our_Lives,True,1,0,1,0,1,0,1,1,1
159,1946,Henry V,/wiki/Henry_V_(1944_film),False,1,1,1,0,0,0,0,0,1
160,1946,It's a Wonderful Life,/wiki/It%27s_a_Wonderful_Life,False,1,0,1,0,0,0,1,1,0
162,1946,The Yearling,/wiki/The_Yearling_(1946_film),False,1,1,1,0,0,1,0,1,0
161,1946,The Razor's Edge,/wiki/The_Razor%27s_Edge_(1946_film),False,0,1,0,0,0,0,0,0,0
167,1947,Miracle on 34th Street,/wiki/Miracle_on_34th_Street,False,0,0,0,0,1,0,0,0,0
166,1947,Great Expectations,/wiki/Great_Expectations_(1946_film),False,0,1,1,0,1,1,0,0,0
165,1947,Crossfire,/wiki/Crossfire_(film),False,0,0,1,0,1,0,0,0,0
164,1947,The Bishop's Wife,/wiki/The_Bishop%27s_Wife,False,0,0,1,0,0,0,1,1,1
163,1947,Gentleman's Agreement,/wiki/Gentleman%27s_Agreement,True,1,0,1,0,1,0,0,1,0
168,1948,Hamlet,/wiki/Hamlet_(1948_film),True,1,1,1,0,1,0,0,0,1
169,1948,Johnny Belinda,/wiki/Johnny_Belinda_(1948_film),False,1,1,1,0,1,1,1,1,1
172,1948,The Treasure of the Sierra Madre,/wiki/The_Treasure_of_the_Sierra_Madre_(film),False,0,0,1,0,1,0,0,0,0
171,1948,The Snake Pit,/wiki/The_Snake_Pit,False,1,0,1,0,1,0,1,0,1
170,1948,The Red Shoes,/wiki/The_Red_Shoes_(1948_film),False,0,1,0,0,1,0,0,1,1
174,1949,Battleground,/wiki/Battleground_(film),False,0,0,1,0,1,1,0,1,0
175,1949,The Heiress,/wiki/The_Heiress,False,1,1,1,0,0,1,0,0,1
176,1949,A Letter to Three Wives,/wiki/A_Letter_to_Three_Wives,False,0,0,1,0,1,0,0,0,0
177,1949,Twelve O'Clock High,/wiki/Twelve_O%27Clock_High,False,1,0,0,0,0,0,1,0,0
173,1949,All the King's Men,/wiki/All_the_King%27s_Men_(1949_film),True,1,0,1,0,1,0,0,1,0
178,1950,Born Yesterday,/wiki/Born_Yesterday_(1950_film),False,1,0,1,0,1,0,0,0,0
179,1950,Father of the Bride,/wiki/Father_of_the_Bride_(1950_film),False,1,0,0,0,1,0,0,0,0
180,1950,King Solomon's Mines,/wiki/King_Solomon%27s_Mines_(1950_film),False,0,0,0,0,0,1,0,1,0
182,1951,A Place in the Sun,/wiki/A_Place_in_the_Sun_(1951_film),False,1,0,1,0,1,1,0,1,1
183,1951,Quo Vadis,/wiki/Quo_Vadis_(1951_film),False,0,1,0,0,0,1,0,1,1
181,1951,An American in Paris,/wiki/An_American_in_Paris_(film),True,0,1,1,0,1,1,0,1,1
184,1951,A Streetcar Named Desire,/wiki/A_Streetcar_Named_Desire_(1951_film),False,1,1,1,0,1,1,1,0,1
189,1952,The Quiet Man,/wiki/The_Quiet_Man,False,0,1,1,0,1,1,1,0,0
188,1952,Moulin Rouge,/wiki/Moulin_Rouge_(1952_film),False,1,1,1,0,0,1,1,1,0
187,1952,Ivanhoe,/wiki/Ivanhoe_(1952_film),False,0,0,0,0,0,1,0,0,1
186,1952,High Noon,/wiki/High_Noon,False,1,0,1,0,1,0,0,1,1
185,1952,The Greatest Show on Earth,/wiki/The_Greatest_Show_on_Earth_(film),True,0,0,1,0,1,0,0,1,0
191,1953,Julius Caesar,/wiki/Julius_Caesar_(1953_film),False,1,1,0,0,0,1,0,0,1
190,1953,From Here to Eternity,/wiki/From_Here_to_Eternity,True,1,0,1,0,1,1,1,1,1
192,1953,The Robe,/wiki/The_Robe_(film),False,1,1,0,0,0,1,0,0,0
