,year,film,wiki,winner,Acting,Production Design,Directing,VFX,Writing,Cinematography,Sound,Film Editing,Music
380,1993,The Fugitive,/wiki/The_Fugitive_(1993_film),False,0,0,0,0,0,1,1,1,1
381,1993,In the Name of the Father,/wiki/In_the_Name_of_the_Father_(film),False,1,0,1,0,1,0,0,1,0
384,1994,Forrest Gump,/wiki/Forrest_Gump,True,1,1,1,1,1,1,1,1,1
385,1994,Four Weddings and a Funeral,/wiki/Four_Weddings_and_a_Funeral,False,0,0,0,0,1,0,0,0,0
386,1994,Pulp Fiction,/wiki/Pulp_Fiction,False,1,0,1,0,1,0,0,1,0
388,1994,The Shawshank Redemption,/wiki/The_Shawshank_Redemption,False,1,0,0,0,1,1,1,1,1
387,1994,Quiz Show,/wiki/Quiz_Show_(film),False,0,0,1,0,1,0,0,0,0
389,1995,Braveheart,/wiki/Braveheart,True,0,0,1,0,1,1,1,1,1
390,1995,Apollo 13,/wiki/Apollo_13_(film),False,0,1,0,1,1,0,1,1,1
391,1995,Babe,/wiki/Babe_(film),False,0,1,1,1,1,0,0,1,0
392,1995,Sense and Sensibility,/wiki/Sense_and_Sensibility_(film),False,1,0,0,0,1,1,0,0,1
395,1996,Jerry Maguire,/wiki/Jerry_Maguire,False,1,0,0,0,1,0,0,1,0
397,1996,Shine,/wiki/Shine_(film),False,1,0,1,0,1,0,0,1,1
393,1996,The English Patient,/wiki/The_English_Patient_(film),True,1,1,1,0,1,1,1,1,1
394,1996,Fargo,/wiki/Fargo_(1996_film),False,1,0,1,0,1,1,0,1,0
396,1996,Secrets & Lies,/wiki/Secrets_%26_Lies_(film),False,1,0,1,0,1,0,0,0,0
402,1997,L.A. Confidential,/wiki/L.A._Confidential_(film),False,0,1,1,0,1,1,1,1,1
401,1997,Good Will Hunting,/wiki/Good_Will_Hunting,False,1,0,1,0,1,0,0,1,1
400,1997,The Full Monty,/wiki/The_Full_Monty,False,0,0,1,0,1,0,0,0,1
398,1997,Titanic,/wiki/Titanic_(1997_film),True,1,1,1,1,1,1,1,1,1
399,1997,As Good as It Gets,/wiki/As_Good_as_It_Gets,False,1,0,0,0,1,0,0,1,1
403,1998,Shakespeare in Love,/wiki/Shakespeare_in_Love,True,1,1,1,0,1,1,1,1,1
404,1998,Elizabeth,/wiki/Elizabeth_(film),False,1,1,0,0,0,1,0,0,1
405,1998,Life Is Beautiful,/wiki/Life_Is_Beautiful,False,1,0,1,0,1,0,0,1,1
406,1998,Saving Private Ryan,/wiki/Saving_Private_Ryan,False,1,1,1,0,1,1,1,1,1
407,1998,The Thin Red Line,/wiki/The_Thin_Red_Line_(1998_film),False,0,0,1,0,1,1,1,1,1
410,1999,The Green Mile,/wiki/The_Green_Mile_(film),False,0,0,0,0,1,0,1,0,0
411,1999,The Insider,/wiki/The_Insider_(film),False,1,0,1,0,1,1,1,1,0
409,1999,The Cider House Rules,/wiki/The_Cider_House_Rules_(film),False,0,1,1,0,1,0,0,1,1
412,1999,The Sixth Sense,/wiki/The_Sixth_Sense,False,0,0,1,0,1,0,0,1,0
408,1999,American Beauty,/wiki/American_Beauty_(1999_film),True,1,0,1,0,1,1,0,1,1
413,2000,Gladiator,/wiki/Gladiator_(2000_film),True,1,1,1,1,1,1,1,1,1
414,2000,Chocolat,/wiki/Chocolat_(2000_film),False,1,0,0,0,1,0,0,0,1
415,2000,"Crouching Tiger, Hidden Dragon","/wiki/Crouching_Tiger,_Hidden_Dragon",False,0,1,1,0,1,1,0,1,1
417,2000,Traffic,/wiki/Traffic_(2000_film),False,0,0,1,0,1,0,0,1,0
416,2000,Erin Brockovich,/wiki/Erin_Brockovich_(film),False,1,0,1,0,1,0,0,0,0
421,2001,The Lord of the Rings: The Fellowship of the Ring,/wiki/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring,False,0,1,1,1,1,1,1,1,1
420,2001,In the Bedroom,/wiki/In_the_Bedroom,False,1,0,0,0,1,0,0,0,0
419,2001,Gosford Park,/wiki/Gosford_Park,False,0,1,1,0,1,0,0,0,0
418,2001,A Beautiful Mind,/wiki/A_Beautiful_Mind_(film),True,1,0,1,0,1,0,0,1,1
422,2002,Chicago,/wiki/Chicago_(2002_film),True,1,1,1,0,1,1,1,1,1
426,2002,The Pianist,/wiki/The_Pianist_(2002_film),False,1,0,1,0,1,1,0,1,0
423,2002,Gangs of New York,/wiki/Gangs_of_New_York,False,1,1,1,0,1,1,1,1,1
425,2002,The Lord of the Rings: The Two Towers,/wiki/The_Lord_of_the_Rings:_The_Two_Towers,False,0,1,0,1,0,0,1,1,0
424,2002,The Hours,/wiki/The_Hours_(film),False,1,0,1,0,1,0,0,1,1
431,2003,Seabiscuit,/wiki/Seabiscuit_(film),False,0,1,0,0,1,1,1,1,0
430,2003,Mystic River,/wiki/Mystic_River_(film),False,1,0,1,0,1,0,0,0,0
429,2003,Master and Commander: The Far Side of the World,/wiki/Master_and_Commander:_The_Far_Side_of_the_World,False,0,1,1,1,0,1,1,1,0
428,2003,Lost in Translation,/wiki/Lost_in_Translation_(film),False,1,0,1,0,1,0,0,0,0
427,2003,The Lord of the Rings: The Return of the King,/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,True,0,1,1,1,1,0,1,1,1
432,2004,Million Dollar Baby,/wiki/Million_Dollar_Baby,True,1,0,1,0,1,0,0,1,0
433,2004,The Aviator,/wiki/The_Aviator_(2004_film),False,1,1,1,0,1,1,1,1,0
434,2004,Finding Neverland,/wiki/Finding_Neverland_(film),False,1,1,0,0,1,0,0,1,1
435,2004,Ray,/wiki/Ray_(film),False,1,0,1,0,0,0,1,1,0
436,2004,Sideways,/wiki/Sideways,False,0,0,1,0,1,0,0,0,0
437,2005,Crash,/wiki/Crash_(2004_film),True,0,0,1,0,1,0,0,1,1
440,2005,Munich,/wiki/Munich_(2005_film),False,0,0,1,0,1,0,0,1,1
439,2005,Capote,/wiki/Capote_(film),False,1,0,1,0,1,0,0,0,0
438,2005,Brokeback Mountain,/wiki/Brokeback_Mountain,False,1,0,1,0,1,1,0,0,1
445,2006,The Queen,/wiki/The_Queen_(2006_film),False,1,0,1,0,1,0,0,0,1
444,2006,Little Miss Sunshine,/wiki/Little_Miss_Sunshine,False,0,0,0,0,1,0,0,0,0
443,2006,Letters from Iwo Jima,/wiki/Letters_from_Iwo_Jima,False,0,0,1,0,1,0,1,0,0
442,2006,Babel,/wiki/Babel_(film),False,0,0,1,0,1,0,0,1,1
441,2006,The Departed,/wiki/The_Departed,True,0,0,1,0,1,0,0,1,0
450,2007,There Will Be Blood,/wiki/There_Will_Be_Blood,False,1,1,1,0,1,1,1,1,0
446,2007,No Country for Old Men,/wiki/No_Country_for_Old_Men,True,0,0,1,0,1,1,1,1,0
447,2007,Atonement,/wiki/Atonement_(2007_film),False,0,1,0,0,1,1,0,0,1
448,2007,Juno,/wiki/Juno_(film),False,1,0,1,0,1,0,0,0,0
449,2007,Michael Clayton,/wiki/Michael_Clayton_(film),False,1,0,1,0,1,0,0,0,1
455,2008,The Reader,/wiki/The_Reader_(2008_film),False,1,0,1,0,1,1,0,0,0
451,2008,Slumdog Millionaire,/wiki/Slumdog_Millionaire,True,0,0,1,0,1,1,1,1,1
452,2008,The Curious Case of Benjamin Button,/wiki/The_Curious_Case_of_Benjamin_Button_(film),False,1,1,1,1,1,1,1,1,1
453,2008,Frost/Nixon,/wiki/Frost/Nixon_(film),False,1,0,1,0,1,0,0,1,0
454,2008,Milk,/wiki/Milk_(2008_American_film),False,1,0,1,0,1,0,0,1,1
459,2009,District 9,/wiki/District_9,False,0,0,0,1,1,0,0,1,0
461,2009,Inglourious Basterds,/wiki/Inglourious_Basterds,False,0,0,1,0,1,1,1,1,0
462,2009,A Serious Man,/wiki/A_Serious_Man,False,0,0,0,0,1,0,0,0,0
463,2009,Up,/wiki/Up_(2009_film),False,0,0,0,0,1,0,1,0,1
464,2009,Up in the Air,/wiki/Up_in_the_Air_(2009_film),False,1,0,1,0,1,0,0,0,0
460,2009,An Education,/wiki/An_Education,False,1,0,0,0,1,0,0,0,0
458,2009,The Blind Side,/wiki/The_Blind_Side_(film),False,1,0,0,0,0,0,0,0,0
456,2009,The Hurt Locker,/wiki/The_Hurt_Locker,True,1,0,1,0,1,1,1,1,1
457,2009,Avatar,/wiki/Avatar_(2009_film),False,0,1,1,1,0,1,1,1,1
472,2010,Toy Story 3,/wiki/Toy_Story_3,False,0,0,0,0,1,0,1,0,1
474,2010,Winter's Bone,/wiki/Winter%27s_Bone,False,1,0,0,0,1,0,0,0,0
473,2010,True Grit,/wiki/True_Grit_(2010_film),False,1,1,1,0,1,1,1,0,1
471,2010,The Social Network,/wiki/The_Social_Network,False,1,0,1,0,1,1,1,1,1
470,2010,127 Hours,/wiki/127_Hours,False,1,0,0,0,1,0,0,1,1
469,2010,The Kids Are All Right,/wiki/The_Kids_Are_All_Right_(film),False,1,0,0,0,1,0,0,0,0
467,2010,The Fighter,/wiki/The_Fighter,False,0,0,1,0,1,0,0,1,0
468,2010,Inception,/wiki/Inception,False,0,1,0,1,1,1,1,0,1
465,2010,The King's Speech,/wiki/The_King%27s_Speech,True,1,1,1,0,1,1,1,1,1
466,2010,Black Swan,/wiki/Black_Swan_(film),False,1,0,1,0,0,1,0,1,0
477,2011,Extremely Loud & Incredibly Close,/wiki/Extremely_Loud_%26_Incredibly_Close_(film),False,0,0,0,0,0,0,0,0,0
479,2011,Hugo,/wiki/Hugo_(film),False,0,1,1,1,1,1,1,1,1
480,2011,Midnight in Paris,/wiki/Midnight_in_Paris,False,0,1,1,0,1,0,0,0,0
481,2011,Moneyball,/wiki/Moneyball_(film),False,1,0,0,0,1,0,1,1,0
482,2011,The Tree of Life,/wiki/The_Tree_of_Life_(film),False,0,0,1,0,0,1,0,0,0
483,2011,War Horse,/wiki/War_Horse_(film),False,0,1,0,0,0,1,1,0,1
475,2011,The Artist,/wiki/The_Artist_(film),True,1,1,1,0,1,1,0,1,1
476,2011,The Descendants,/wiki/The_Descendants,False,1,0,1,0,1,0,0,1,0
478,2011,The Help,/wiki/The_Help_(film),False,1,0,0,0,0,0,0,0,0
484,2012,Argo,/wiki/Argo_(2012_film),True,0,0,0,0,1,0,1,1,1
485,2012,Amour,/wiki/Amour_(2012_film),False,1,0,1,0,1,0,0,0,0
489,2012,Lincoln,/wiki/Lincoln_(film),False,1,1,1,0,1,1,1,1,1
488,2012,Life of Pi,/wiki/Life_of_Pi_(film),False,0,1,1,1,1,1,1,1,1
63,2012,Les Misérables,/wiki/Les_Mis%C3%A9rables_(2012_film),False,1,1,0,0,0,0,1,0,1
487,2012,Django Unchained,/wiki/Django_Unchained,False,0,0,0,0,1,1,1,0,0
491,2012,Zero Dark Thirty,/wiki/Zero_Dark_Thirty,False,1,0,0,0,1,0,1,1,0
490,2012,Silver Linings Playbook,/wiki/Silver_Linings_Playbook,False,1,0,1,0,1,0,0,1,0
486,2012,Beasts of the Southern Wild,/wiki/Beasts_of_the_Southern_Wild,False,1,0,1,0,1,0,0,0,0
499,2013,Philomena,/wiki/Philomena_(film),False,1,0,0,0,1,0,0,0,1
497,2013,Her,/wiki/Her_(film),False,0,1,0,0,1,0,0,0,1
498,2013,Nebraska,/wiki/Nebraska_(film),False,1,0,1,0,1,1,0,0,0
500,2013,The Wolf of Wall Street,/wiki/The_Wolf_of_Wall_Street_(2013_film),False,1,0,1,0,1,0,0,0,0
496,2013,Gravity,/wiki/Gravity_(2013_film),False,1,1,1,1,0,1,1,1,1
494,2013,Captain Phillips,/wiki/Captain_Phillips_(film),False,0,0,0,0,1,0,1,1,0
495,2013,Dallas Buyers Club,/wiki/Dallas_Buyers_Club,False,1,0,0,0,1,0,0,1,0
492,2013,12 Years a Slave,/wiki/12_Years_a_Slave_(film),True,1,1,1,0,1,0,0,1,0
493,2013,American Hustle,/wiki/American_Hustle,False,1,1,1,0,1,0,0,1,0
501,2014,American Sniper,/wiki/American_Sniper,False,1,0,0,0,1,0,1,1,0
502,2014,Boyhood,/wiki/Boyhood_(2014_film),False,0,0,1,0,1,0,0,1,0
503,2014,The Grand Budapest Hotel,/wiki/The_Grand_Budapest_Hotel,False,0,1,1,0,1,1,0,1,1
504,2014,The Imitation Game,/wiki/The_Imitation_Game,False,1,1,1,0,1,0,0,1,1
505,2014,Selma,/wiki/Selma_(film),False,0,0,0,0,0,0,0,0,1
506,2014,The Theory of Everything,/wiki/The_Theory_of_Everything_(2014_film),False,1,0,0,0,1,0,0,0,1
507,2014,Whiplash,/wiki/Whiplash_(2014_film),False,0,0,0,0,1,0,1,1,0
515,2015,Room,/wiki/Room_(2015_film),False,1,0,1,0,1,0,0,0,0
514,2015,The Revenant,/wiki/The_Revenant_(2015_film),False,1,1,1,1,0,1,1,1,0
513,2015,The Martian,/wiki/The_Martian_(film),False,1,1,0,1,1,0,1,0,0
512,2015,Mad Max: Fury Road,/wiki/Mad_Max:_Fury_Road,False,0,1,1,1,0,1,1,1,0
511,2015,Brooklyn,/wiki/Brooklyn_(film),False,1,0,0,0,1,0,0,0,0
510,2015,Bridge of Spies,/wiki/Bridge_of_Spies_(film),False,0,1,0,0,1,0,1,0,1
509,2015,The Big Short,/wiki/The_Big_Short_(film),False,0,0,1,0,1,0,0,1,0
508,2015,Spotlight,/wiki/Spotlight_(film),True,0,0,1,0,1,0,0,1,0
516,2016,Moonlight,/wiki/Moonlight_(2016_film),True,0,0,1,0,1,1,0,1,1
517,2016,Arrival,/wiki/Arrival_(film),False,0,1,1,0,1,1,1,1,0
518,2016,Fences,/wiki/Fences_(film),False,1,0,0,0,1,0,0,0,0
519,2016,Hacksaw Ridge,/wiki/Hacksaw_Ridge,False,1,0,1,0,0,0,1,1,0
520,2016,Hell or High Water,/wiki/Hell_or_High_Water_(2016_film),False,0,0,0,0,1,0,0,1,0
521,2016,Hidden Figures,/wiki/Hidden_Figures,False,0,0,0,0,1,0,0,0,0
522,2016,La La Land,/wiki/La_La_Land,False,1,1,1,0,1,1,1,1,1
523,2016,Lion,/wiki/Lion_(2016_film),False,0,0,0,0,1,1,0,0,1
524,2016,Manchester by the Sea,/wiki/Manchester_by_the_Sea_(film),False,1,0,1,0,1,0,0,0,0
527,2017,Darkest Hour,/wiki/Darkest_Hour_(film),False,1,1,0,0,0,1,0,0,0
528,2017,Dunkirk,/wiki/Dunkirk_(2017_film),False,0,1,1,0,0,1,1,1,1
530,2017,Lady Bird,/wiki/Lady_Bird_(film),False,1,0,1,0,1,0,0,0,0
531,2017,Phantom Thread,/wiki/Phantom_Thread,False,1,0,1,0,0,0,0,0,1
532,2017,The Post,/wiki/The_Post_(film),False,1,0,0,0,0,0,0,0,0
526,2017,Call Me by Your Name,/wiki/Call_Me_by_Your_Name_(film),False,1,0,0,0,1,0,0,0,1
529,2017,Get Out,/wiki/Get_Out,False,1,0,1,0,1,0,0,0,0
525,2017,The Shape of Water,/wiki/The_Shape_of_Water,True,1,1,1,0,1,1,1,1,1
88,2018,A Star Is Born,/wiki/A_Star_Is_Born_(2018_film),False,1,1,1,0,1,1,1,0,1
533,2018,Green Book,/wiki/Green_Book_(film),True,1,0,0,0,1,0,0,1,0
534,2018,Black Panther,/wiki/Black_Panther_(film),False,0,1,0,0,0,0,1,0,1
535,2018,BlacKkKlansman,/wiki/BlacKkKlansman,False,0,0,1,0,1,0,0,1,1
536,2018,Bohemian Rhapsody,/wiki/Bohemian_Rhapsody_(film),False,1,0,0,0,0,0,1,1,0
537,2018,The Favourite,/wiki/The_Favourite,False,1,1,1,0,1,1,0,1,0
538,2018,Roma,/wiki/Roma_(2018_film),False,1,1,1,0,1,1,1,0,0
539,2018,Vice,/wiki/Vice_(2018_film),False,1,0,1,0,1,0,0,1,0
546,2019,1917,/wiki/1917_(2019_film),False,0,1,1,1,1,1,1,0,1
545,2019,Marriage Story,/wiki/Marriage_Story,False,1,0,0,0,1,0,0,0,1
544,2019,Joker,/wiki/Joker_(2019_film),False,1,0,1,0,1,1,1,1,1
543,2019,Jojo Rabbit,/wiki/Jojo_Rabbit,False,0,1,0,0,1,0,0,1,0
541,2019,Ford v Ferrari,/wiki/Ford_v_Ferrari,False,0,0,0,0,0,0,1,1,0
542,2019,The Irishman,/wiki/The_Irishman,False,0,1,1,1,1,1,0,1,0
35,2019,Little Women,/wiki/Little_Women_(2019_film),False,1,1,1,0,1,1,0,0,1
540,2019,Parasite,/wiki/Parasite_(2019_film),True,0,1,1,0,1,0,0,1,0
547,2020,Nomadland,/wiki/Nomadland_(film),True,1,0,1,0,1,1,0,1,0
548,2020,The Father,/wiki/The_Father_(2020_film),False,1,1,0,0,1,0,0,1,0
549,2020,Judas and the Black Messiah,/wiki/Judas_and_the_Black_Messiah,False,0,0,0,0,1,1,0,0,1
550,2020,Mank,/wiki/Mank,False,1,1,1,0,0,1,1,0,1
551,2020,Minari,/wiki/Minari_(film),False,1,0,1,0,1,0,0,0,1
552,2020,Promising Young Woman,/wiki/Promising_Young_Woman,False,1,0,1,0,1,0,0,1,0
553,2020,Sound of Metal,/wiki/Sound_of_Metal,False,1,0,0,0,1,0,1,1,0
554,2020,The Trial of the Chicago 7,/wiki/The_Trial_of_the_Chicago_7,False,0,0,0,0,1,1,0,1,1
559,2021,Dune,/wiki/Dune_(2021_film),False,0,1,0,1,1,1,1,1,1
561,2021,Licorice Pizza,/wiki/Licorice_Pizza,False,0,0,1,0,1,0,0,0,0
562,2021,Nightmare Alley,/wiki/Nightmare_Alley_(2021_film),False,0,1,0,0,0,1,0,0,0
563,2021,The Power of the Dog,/wiki/The_Power_of_the_Dog_(film),False,1,1,1,0,1,1,1,1,1
560,2021,King Richard,/wiki/King_Richard_(film),False,1,0,0,0,1,0,0,1,1
558,2021,Drive My Car,/wiki/Drive_My_Car_(film),False,0,0,1,0,1,0,0,0,0
231,2021,West Side Story,/wiki/West_Side_Story_(2021_film),False,0,1,1,0,1,1,1,1,1
556,2021,Belfast,/wiki/Belfast_(film),False,0,0,1,0,1,0,1,0,1
555,2021,CODA,/wiki/CODA_(2021_film),True,0,0,0,0,1,0,0,0,0
557,2021,Don't Look Up,/wiki/Don%27t_Look_Up,False,0,0,0,0,1,0,0,1,1
568,2022,The Fabelmans,/wiki/The_Fabelmans,False,1,1,1,0,1,0,0,0,1
570,2022,Top Gun: Maverick,/wiki/Top_Gun:_Maverick,False,0,0,0,1,1,0,1,1,1
569,2022,Tár,/wiki/T%C3%A1r,False,1,0,1,0,1,1,0,1,0
567,2022,Elvis,/wiki/Elvis_(2022_film),False,1,1,0,0,0,1,1,1,0
11,2022,All Quiet on the Western Front,/wiki/All_Quiet_on_the_Western_Front_(2022_film),False,0,1,0,1,1,1,1,0,1
565,2022,Avatar: The Way of Water,/wiki/Avatar:_The_Way_of_Water,False,0,1,0,1,0,0,1,0,0
564,2022,Everything Everywhere All at Once,/wiki/Everything_Everywhere_All_at_Once,True,1,0,1,0,1,0,0,1,1
10,2022,All Quiet on the Western Front,/wiki/All_Quiet_on_the_Western_Front_(2022_film),False,0,1,1,1,1,1,1,0,1
571,2022,Triangle of Sadness,/wiki/Triangle_of_Sadness,False,0,0,1,0,1,0,0,0,0
566,2022,The Banshees of Inisherin,/wiki/The_Banshees_of_Inisherin,False,1,0,1,0,1,0,0,1,1
572,2022,Women Talking,/wiki/Women_Talking_(film),False,0,0,0,0,1,0,0,0,0
